date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Tue Jul 21 2020 18:21:43 GMT+0900 (Korean Standard Time), Principal Consultant,"Cambridge, MA",Current Employee ,A nice place to work and a company with a solid future,I have been working at Akamai full-time for more than a year,"Challenging assignments, smart people, genuinely supportive culture.","Sometimes difficult to to get things done, particularly when working across departments.","5.0
★★★★★",Akamai
Tue Jul 21 2020 12:55:15 GMT+0900 (Korean Standard Time), Senior Software Development Engineer In Test,"South San Francisco, CA",Current Employee ,Good place to work,I have been working at Akamai full-time for more than 3 years,"Learning new tech, open minded team.",Some older/legacy tech are used,"5.0
★★★★★",Akamai
Wed Jul 15 2020 20:56:08 GMT+0900 (Korean Standard Time), Manager,,Former Employee ,A place to work and retire,I worked at Akamai full-time,great place with a great group of leaders,None - may be focus on marketing more..,"5.0
★★★★★",Akamai
Thu Jul 16 2020 04:06:29 GMT+0900 (Korean Standard Time), Account Executive,"Atlanta, GA",Current Employee ,EHh- if you want an easy job,I have been working at Akamai full-time for more than 5 years,"Work-Life Balance Work Remote, is ideal Great benefits",Implementations always go wrong Success based on internal politics Too many emergency calls,"2.0
★★★★★",Akamai
Fri Jun 19 2020 14:07:20 GMT+0900 (Korean Standard Time), Senior Software Engineer,,Current Employee ,Great company,I have been working at Akamai full-time,Great product and positive outlook,has little presence in the bay area,"5.0
★★★★★",Akamai
Tue Jun 16 2020 10:21:51 GMT+0900 (Korean Standard Time), Senior Manager,"Cambridge, MA",Current Employee ,Best Company,I have been working at Akamai full-time for more than 5 years,Smart people and great leadership,"Unlimited vacation - a pro, but really a con","5.0
★★★★★",Akamai
Thu Jun 11 2020 16:14:38 GMT+0900 (Korean Standard Time), Senior Data Scientist,"San Jose, CA",Former Employee ,Good place to work,I worked at Akamai full-time for less than a year,Awesome real-time data. Great perks.,Could be slow moving at times,"4.0
★★★★★",Akamai
Fri Jun 12 2020 08:11:46 GMT+0900 (Korean Standard Time), Business Systems Analyst,"Cambridge, MA",Current Employee ,"Excellent Company, Great Work Life Balance, Active Management",I have been working at Akamai full-time for more than a year,Management is active to the needs of the employees Excellent work/life balance Good Company for people looking for Stable life,Not so great with the new joiners/freshers who are just starting their career,"4.0
★★★★★",Akamai
Mon Jun 08 2020 22:51:19 GMT+0900 (Korean Standard Time),,,Former Employee ,It really depends what department,I worked at Akamai full-time for more than 10 years,They pay well Lots of discount programs Many options,"Avoid the Fort Lauderdale office, too much drama","3.0
★★★★★",Akamai
Fri May 15 2020 11:45:14 GMT+0900 (Korean Standard Time), Senior Manager,"Cambridge, MA",Current Employee ,Really like it here,I have been working at Akamai full-time for more than 8 years,"Solid Leadership,great development and learning opportunities, big focus on I&D, sustainability and social responsibility.","Some legacy/fixed mindset thinking with some long-tenured employees, but we're making progress in this space.","5.0
★★★★★",Akamai
Mon May 11 2020 20:29:16 GMT+0900 (Korean Standard Time),,,Former Employee ,asdasdasd,I worked at Akamai part-time,good company with good pay,parking can be expensive to find if you are working in cambridge,"5.0
★★★★★",Akamai
Sun May 10 2020 19:17:24 GMT+0900 (Korean Standard Time), Senior Manager,"Cambridge, MA",Current Employee ,Losing their edge,I have been working at Akamai full-time for more than 10 years,"Many smart people, flexible, good pay","Too much technical debt all around, slow to move (think aircraft carrier), need managers from outside.","3.0
★★★★★",Akamai
Thu May 07 2020 01:40:45 GMT+0900 (Korean Standard Time), Field Service Technician II,"Santa Clara, CA",Current Employee ,"fair company to work for, BUT. . .",I have been working at Akamai full-time for more than 5 years,"flexible schedule, fairly happy people within the company.",very slow to get a promotion.,"3.0
★★★★★",Akamai
Thu May 07 2020 17:58:25 GMT+0900 (Korean Standard Time),,"San Francisco, CA",Current Employee ,Great place to work,I have been working at Akamai full-time for more than 5 years,"Smart people, and mostly nice people, which is a rare combination","Depending on the team, the upper management can be stifling","4.0
★★★★★",Akamai
Thu Apr 23 2020 09:19:23 GMT+0900 (Korean Standard Time), Communications Manager,"Cambridge, MA",Current Employee ,Great place to work,I have been working at Akamai full-time for more than a year,"Great place to work that cares about its people, pays fairly, and provides a lot of opportunities.","There is still a lot of ""startup mentality"", which can make it challenging to get things done across the whole organization. Also career paths are not obvious.","5.0
★★★★★",Akamai
Tue Apr 07 2020 14:21:35 GMT+0900 (Korean Standard Time), Account Executive,,Current Employee ,"Learn Politics, become part of the good old boy's club STAT and you are set!",I have been working at Akamai full-time,"Benefits, Work Life Balance, Great Products","Implementations never go right
Not a minority friendly company
Politics, once you play the game you are set. It has helped me now but some people will never fit in. And will struggle with this....Don't join if you care about culture, join if you are here to make money, work hard and enjoy life outside of work","3.0
★★★★★",Akamai
