date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Wed Jun 10 2020 14:02:15 GMT+0900 (Korean Standard Time), Sales Development Representative,"Richardson, TX",Current Employee ,Best Place to Work,I have been working at AppDynamics full-time for more than a year,Best leadership of all time and incredible company culture.,Can only work from home one day a week.,"5.0
★★★★★",AppDynamics
Fri Jul 10 2020 16:10:06 GMT+0900 (Korean Standard Time),,, ,Great place to work. Cisco needs more software companies like Appd,I have been working at AppDynamics,Appdynamics has a great startup culture and STELLAR sales team. Probably the best sales team in the world. Great for learning and great for advancement,"The integration into Cisco was a little bumpy. An actual pro would be that you have a huge engine like Cisco behind you but Cisco can be a little “old world” thinking. The sales team at Cisco is bloated and tired. There are only a few shining stars so It’s sometimes a difficult union. Under appdynamics,, pay increases were better but Cisco is super super stingy when it comes to pay and stock. The hardware side is an easy sale. They have not really grasped that the software side is a different animal. Ive now been pulled into the Cusco machine where meetings are about throwing 20 things at a customer to see what sticks without any planning. companies like amazon, google, Microsoft (you name it) throw stock at employees to keep the talent ... Cisco doesn’t seem to care and has never learned from other tech companies. talent easily fades away. If they ever figure this out they will be an amazing company.","4.0
★★★★★",AppDynamics
Sat Jul 11 2020 12:40:05 GMT+0900 (Korean Standard Time), Manager,,Current Employee ,Overall,I have been working at AppDynamics full-time,Change change change. Good vision about the product ahead,Dealt in development and enterprise ready solutions,"4.0
★★★★★",AppDynamics
Wed Jun 03 2020 09:54:14 GMT+0900 (Korean Standard Time), Enterprise Account Manager,,Current Employee ,Amazing Place To Grow,I have been working at AppDynamics full-time,"Great culture, values, and compensation. They truly care about every individual on a personal level.",None that don't exist at every job.,"5.0
★★★★★",AppDynamics
Thu Jun 04 2020 16:27:34 GMT+0900 (Korean Standard Time), Senior Manager,"San Francisco, CA",Current Employee ,Great company to work for,I have been working at AppDynamics full-time for less than a year,"Awesome Product , Good Management",Lots of things are changing at the moment and leadership does not look to be very aligned on how to take the company to the next level.,"4.0
★★★★★",AppDynamics
Thu Jun 04 2020 06:01:20 GMT+0900 (Korean Standard Time), Channel Manager,"Los Angeles, CA",Former Employee ,Channel Manager,I worked at AppDynamics full-time for more than 3 years,"Good Product, good sales engineers",Weak sales team post Cisco acquisition.,"3.0
★★★★★",AppDynamics
Thu May 14 2020 12:01:02 GMT+0900 (Korean Standard Time), Sales Engineering Manager,,Current Employee ,Love it here!!,I have been working at AppDynamics full-time for more than 5 years,"Culture, people, market, solution, Cisco, flexibility, growth, variety, opportunity, fun, recognition.","None for me...great mix of hard work, travel, time off, community support, global giveback and great benefits.","5.0
★★★★★",AppDynamics
Wed May 13 2020 15:34:21 GMT+0900 (Korean Standard Time), Sales,,Current Employee ,Its actually pretty good! a real review.,I have been working at AppDynamics full-time for more than a year,"-The people are awesome, the product is industry leading and for the first time in my life I actually have a decent work life balance at a tech company. - A very transparent C-suite who has really stepped up to the plate during this coronavirus pandemic to make the employees feel comfortable and safe. - Financial stability and benefits that Cisco provides. - This may seem weird but I've never felt unethical in this job. It was an issue at both of my previous tech companies so its nice to not have to leave your morals at the door.","-We've slowly gotten less perks over the years as Cisco tries to control some of the costs associated with a startup culture. That said, the Dallas and SF offices still have some sweet amenities. - AppD can def lack structure at times and some our process could use refining. - Depending on where you work (sales, cs, product etc) some departments arent growing as fast as others so its not like some startups where you can get promoted every year.","5.0
★★★★★",AppDynamics
Fri May 08 2020 17:57:47 GMT+0900 (Korean Standard Time),,,Current Employee ,"Good, start-up feeling company in the midst of a bigger tech giant",I have been working at AppDynamics full-time,"- Great culture and diversity as opposed to greater Cisco - Still have all the employee benefits and name of Cisco - Interesting work, product, and projects",- Some of the processes can be slowed down because of the steps that are tied to Cisco - Pay could be more competitive,"5.0
★★★★★",AppDynamics
Mon Apr 27 2020 23:02:04 GMT+0900 (Korean Standard Time), Professional Services,"San Francisco, CA",Current Employee ,Great Company,I have been working at AppDynamics full-time for less than a year,Great company to work for. Great management,"Nothing out of the ordinary, typical valley company","5.0
★★★★★",AppDynamics
