date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Sat May 30 2020 21:20:57 GMT+0900 (Korean Standard Time), Account Executive,"Houston, TX",Current Employee ,Fantastic company!,I have been working at Autodesk full-time for more than a year,The amount of support and ongoing training is unmatched. This is a company that truly cares about their employees and it shows.,The only challenge is that the company is so huge and it’s easy to get overwhelmed by all of the different information and initiatives.,"5.0
★★★★★",Autodesk
Tue Jul 14 2020 17:45:30 GMT+0900 (Korean Standard Time), Technical Support Specialist,"Boston, MA",Former Employee ,"Top Tier company, great corporate culture",I worked at Autodesk full-time for more than 3 years,"great people, ethical leadership, a lot of ""A Players""","little upwards mobility, lateral movements can be tough to pull off, hard to get to know ""other"" parts of the business","5.0
★★★★★",Autodesk
Tue Jul 14 2020 18:08:28 GMT+0900 (Korean Standard Time), Strategy Manager,,Current Employee ,Great company,I have been working at Autodesk full-time,Great company to work for,Nothing that I can think of,"5.0
★★★★★",Autodesk
Tue Jul 14 2020 11:22:51 GMT+0900 (Korean Standard Time),,,Current Employee ,Company moving the right direction,I have been working at Autodesk full-time for more than a year,*Strong communication from leadership on direction and priorities. Andrew (CEO) inspires *ESPP program is a huge plus *Tons of access to incredible software,"*Parental leave policy is just fine, not as good as other companies. Perhaps a function of a slightly older employee base","5.0
★★★★★",Autodesk
Wed Jul 22 2020 09:10:36 GMT+0900 (Korean Standard Time), Software Engineer,"Novi, MI",Current Employee ,Good place to Work!,I have been working at Autodesk full-time for more than 3 years,Lot of opportunities to grow,slow in innovating things. Need to improve!,"3.0
★★★★★",Autodesk
Thu Jul 02 2020 10:26:34 GMT+0900 (Korean Standard Time), Software Engineer,,Former Employee ,Really great culture and awesome perks,I worked at Autodesk full-time,"It was a great place to work, very good culture. The projects are challenging, and you get to learn a lot. Teams are well sized, and overall a really good place to work.",Salaries should be higher doesn't compare up to Google. Management could do better sharing their vision and objectives with the company.,"5.0
★★★★★",Autodesk
Tue Jun 30 2020 08:59:30 GMT+0900 (Korean Standard Time), Human Resources,"San Francisco, CA",Current Employee ,"Overall good company, severely lacking diversity.",I have been working at Autodesk full-time for more than a year,"Paid 6-week sabbatical every 4 years, accessible office from public transportation, solid benefits.","Lack of diversity, lack of career advancement, salary not up to market standards.","4.0
★★★★★",Autodesk
Mon Jul 13 2020 09:52:44 GMT+0900 (Korean Standard Time), Senior Manager,"San Francisco, CA",Former Employee ,Do your diligence on the team you will be working with,I worked at Autodesk full-time for less than a year,"Benefits, Well intentioned culture and C-Staff","Slow to innovate, C-Staff is isolated from lower ranks and IDEAS, optics are more important than outcomes","2.0
★★★★★",Autodesk
Tue Jun 23 2020 13:45:12 GMT+0900 (Korean Standard Time), Data Scientist,,Former Employee ,Great company,I worked at Autodesk full-time for more than 3 years,"Office environment, benefits, very interesting work, unlimited PTO.",Sometimes difficult to make sense of changes.,"5.0
★★★★★",Autodesk
Tue Jun 16 2020 00:42:17 GMT+0900 (Korean Standard Time), Software Engineer,"Seattle, WA",Current Employee ,A good bet,I have been working at Autodesk full-time for more than a year,"Best job for new grads and those trying to grow their career. They produce a wide range of software, so there's a lot of opportunity.","Spread a little thin sometimes, doesn't spend a lot of time thinking about common processes, even when those are vital when working across departments.","5.0
★★★★★",Autodesk
Wed Jul 22 2020 11:35:11 GMT+0900 (Korean Standard Time), Engineer,"San Francisco, CA",Current Employee ,Diversity is valued more than Technical Expertise,I have been working at Autodesk full-time for more than 3 years,Lots of stock options and benefits,Diversity and inclusion are priority over technical competence or expertise.,"1.0
★★★★★",Autodesk
Sun Jun 14 2020 05:41:33 GMT+0900 (Korean Standard Time), Mechanical Engineer,"San Francisco, CA",Former Employee ,"Fun to work, hard to get good pay",I worked at Autodesk full-time,Exciting technology and creative people,Power shifts in ownership and direction of company,"4.0
★★★★★",Autodesk
Sun Jun 21 2020 20:11:10 GMT+0900 (Korean Standard Time),,,Current Employee ,Offer letters are subject to change!,I have been working at Autodesk full-time,The company is changing and growing a lot with the new CEO.,They made some changes in my offer letter instantly after starting my role while they could inform me before then. I felt betrayed by this action. Watch out about your offer letter and ask several questions before even accepting it. I didn't get what I was promised in the offer letter.,"2.0
★★★★★",Autodesk
