date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Sun Apr 05 2020 17:10:31 GMT+0900 (Korean Standard Time), Implementation Project Manager,"Valdosta, GA",Former Employee ,Excellent,I worked at CDK Global full-time for more than a year,"Wonderful supervisor, great to work with, flexible and patient. Great benefits. Awesome team of intelligent and friendly people! Excellent management all the way up.","Pay is on the low end for this work . It is corporate, so the values are generic and empty.","5.0
★★★★★",CDK-Global
Thu Jul 16 2020 16:39:39 GMT+0900 (Korean Standard Time), CSA ,"Charlotte, NC",Current Employee ,CEO Brian K has made the difference,I have been working at CDK Global full-time for more than 10 years,True commitment to our customers,Vacation No advantage for tenure,"5.0
★★★★★",CDK-Global
Wed Jul 15 2020 14:23:05 GMT+0900 (Korean Standard Time),,"Portland, OR",Former Employee ,Company emerging from lack of leadership,I worked at CDK Global part-time,Stable company with a decent tech culture,"Lack of diversity, somewhat siloed culture, not cutting edge tech.","4.0
★★★★★",CDK-Global
Fri Jul 17 2020 11:14:27 GMT+0900 (Korean Standard Time), Customer Service Representative,,Current Employee ,Salary,I have been working at CDK Global full-time,A lot of bonuses based on performance.,Starting pay is very low.,"2.0
★★★★★",CDK-Global
Tue Jun 30 2020 16:37:12 GMT+0900 (Korean Standard Time), Software Engineer,"Portland, OR",Current Employee ,Nice place to wok,I have been working at CDK Global full-time,"Flexible work hours, good work life balance","salary is average, could be better","5.0
★★★★★",CDK-Global
Tue Jun 23 2020 12:13:27 GMT+0900 (Korean Standard Time), Project Management,,Former Employee ,Ok as long as the bad apples dont spoil the cart,I worked at CDK Global full-time for more than 10 years,"Work life balance still good for most, but eroding away under the 'bad' managers/directors. No limit to vacation time, as long as manager approves, After years, CDK finally has a CEO that is good, engaged and seems to care. There are many smart, great people working at CDK. Health benefits aren't as bad as CDKers like to say. Work from home is working out well in the pandemic.","Some toxic management at the midlevels is destroying progress. Some job roles in the company are pushed too hard, burning out many quality employees, Salary compared to other tech companies is lacking. Been hard to recruit quality, knowledgable, experienced employees due to recent layoffs, bad reviews, etc. HR does not do enough to support employees against bad management.","3.0
★★★★★",CDK-Global
Tue Jun 16 2020 17:21:46 GMT+0900 (Korean Standard Time), Software Engineer(Internship),"San Jose, CA",Current Employee ,Big technological company,I have been working at CDK Global full-time for less than a year,"Very supportive HR, tech managers and recruiters",I have not experienced any cons to report.,"5.0
★★★★★",CDK-Global
Tue Jun 23 2020 17:09:06 GMT+0900 (Korean Standard Time), Regional Support Specialist,,Former Employee ,A different Company,I worked at CDK Global full-time,I was able to work from home,It's a completely different company than when I started,"3.0
★★★★★",CDK-Global
Thu Jun 11 2020 12:28:44 GMT+0900 (Korean Standard Time), Sales Account Executive,"Cleveland, OH",Current Employee ,Hard Job,I have been working at CDK Global full-time for more than 8 years,"Industry Leader, well positioned to grow if it innovates more.",Needs to innovate more. Most Car Dealers are difficult to do with.,"4.0
★★★★★",CDK-Global
Sun Jul 12 2020 17:59:04 GMT+0900 (Korean Standard Time), Customer Service Representative (CSR),"Valdosta, GA",Current Employee ,Don’t do it,I have been working at CDK Global part-time for more than a year,The only pro I can think of is the money. I came into this job with little work experience because I am young and they gave me a good starting wage and you can make bonus money too.,The management is horrible and the team leaders also contribute to the negative experience. The work is miserable and I would never in my life recommend this to anyone unless it is your last option. They set unrealistic expectations and it seems like no matter how hard you try they find something to complain about and tell you to fix it. They also tell you coming into the job that if you are a student they are willing to help work around that and change schedules as needed but when it comes down to it they act like they’re insulted that you have to change your schedule for school.,"1.0
★★★★★",CDK-Global
Sat Jun 06 2020 15:04:56 GMT+0900 (Korean Standard Time), CTAIII,"Cincinnati, OH",Current Employee ,OKAY,I have been working at CDK Global full-time for more than 3 years,Good pay and generous time-off policy,Preach advancement but hire from outside rather than advancing from within,"5.0
★★★★★",CDK-Global
Thu Jun 04 2020 09:18:25 GMT+0900 (Korean Standard Time), Workforce Management,"Cincinnati, OH",Former Employee ,Products and people quality,I worked at CDK Global full-time for more than 10 years,Excellent people and product innovation,olidation to US employees only.,"4.0
★★★★★",CDK-Global
Fri May 29 2020 04:14:36 GMT+0900 (Korean Standard Time), Implementation Consultant,"Hoffman Estates, IL",Former Employee ,No job security,I worked at CDK Global full-time for more than 3 years,"-Travel across the US -Daily Per Diem (Use it or lose it, and don't expect to use the full daily amount, or you will be harassed by management) -Corporate cards","-The software is extremely buggy and far from perfect -Micromanagement -High turnover and constant layoffs -Internal backstabbing and politics -Toxic managers and work environment -Extremely long hours, expect to work upwards of 90 hours per week -Salaried and no overtime pay -Intensive re-orgs, and will be put under different managers/directors which hinders your yearly performance reviews since new managers will be clueless about your progress -Are expected to travel and leave home at 2:00AM on Monday mornings, be at a client's location no later than 12:00PM and work until midnight -On non travel days, you will be required to be onsite by 9:00AM and will be pulling 10-15 hours shifts due to technical issues -Will get harassed by upper management if you get onsite after 12:00PM, even though flights may be delayed or cancelled due to weather or technical issues -Are expected to work Friday's until 12:00PM, and travel back home after 4:00PM -Expect to arrive home on Friday's by midnight or Saturday mornings -Contractors who are assigned on your projects will compete and discredit your work to upper management in order to get a chance to become a direct hires -Job roles are being outsourced to Infosys -Managers will do surprise on-site visits or send out spies to check on you","1.0
★★★★★",CDK-Global
Fri May 22 2020 21:43:02 GMT+0900 (Korean Standard Time),,"Cincinnati, OH",Former Employee ,Beware,I worked at CDK Global full-time for more than a year,"Location close to where I lived, clean facility, free bagels on Monday, covered parking","Mass layoffs put everyone on edge, people quitting was so normal that you actually wished you were them and could escape, supervisors don't know how to do the job of their direct reports, training was unprofessional and unorganized with both of the departments I worked in, no one there has faith in the company but some will fake it and put on a smile, my role was underpaid for what we were expected to do.","1.0
★★★★★",CDK-Global
Wed Apr 15 2020 15:25:47 GMT+0900 (Korean Standard Time), Manager,"Hoffman Estates, IL",Current Employee ,Lots of opportunity - Changes Necessary,I have been working at CDK Global full-time for more than 3 years,"Flexiblity, ability to learn, wear many hats","Old fashioned, top down management style, way too many men and white men in leadership. Alienating.","4.0
★★★★★",CDK-Global
Thu Apr 02 2020 20:40:54 GMT+0900 (Korean Standard Time),,,Current Employee ,Review,I have been working at CDK Global full-time,"Lot of technologies to work on
Decent working hours",- I could find none.,"4.0
★★★★★",CDK-Global
Tue Apr 14 2020 15:41:24 GMT+0900 (Korean Standard Time), Content Specialist,"Seattle, WA",Former Employee ,Benefits,I worked at CDK Global full-time for more than 3 years,Free bagels once a week.,Employees are disposable. Management is not helpful.,"3.0
★★★★★",CDK-Global
Fri Mar 27 2020 23:56:32 GMT+0900 (Korean Standard Time),,,Current Employee ,It’s a people company,I have been working at CDK Global full-time,"People whom I have met so far is very nice, good work life balance, work from home occasionally, employer focus is just to get the work done and no other politics. Simple as that.",Nothing major that I can think of right now,"5.0
★★★★★",CDK-Global
Mon Mar 30 2020 08:34:53 GMT+0900 (Korean Standard Time), Digital Marketing,,Current Employee ,Good Comapny,I have been working at CDK Global full-time for more than 10 years,Strong Leadership in the digital business,Health benefits could be better,"3.0
★★★★★",CDK-Global
Sun Mar 29 2020 14:44:48 GMT+0900 (Korean Standard Time), Software Engineer,"Seattle, WA",Former Employee ,Product based organisation,I worked at CDK Global full-time for more than a year,"location, compensation was ok compare to other employers",vision is not clear within stakeholders,"3.0
★★★★★",CDK-Global
