date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Tue Jun 23 2020 21:36:48 GMT+0900 (Korean Standard Time), Software Engineer,"San Jose, CA",Current Employee ,Nice Global Team to Work With,I have been working at Cadence Design Systems full-time for more than a year,"Very nice people to work with. Tons of diversity with colleagues from U.S., France, England, India, China. Good work-life balance.",Lower pay compared to other SDEs. Slightly out-of-date development platform.,"5.0
★★★★★",Cadence-Design-Systems
Sat Jul 25 2020 09:48:06 GMT+0900 (Korean Standard Time), Account Group Director,"San Jose, CA",Former Employee ,well run company,I worked at Cadence Design Systems full-time,"the CEO, Li-pu, is top notch and also down to earth",some people in Finance org is too detail-driven and loose sight of big pictures.,"4.0
★★★★★",Cadence-Design-Systems
Tue May 26 2020 23:37:05 GMT+0900 (Korean Standard Time),,"San Jose, CA",Former Employee ,Great place to work,I worked at Cadence Design Systems full-time,Cadence is an amazing place to work with good opportunities for growth,Work life balance may vary from team to team,"5.0
★★★★★",Cadence-Design-Systems
Thu Jun 04 2020 20:29:24 GMT+0900 (Korean Standard Time), Principal Engineer,"San Jose, CA",Former Employee ,"Chip enumeration system is NOT staple enough, hidden layoffs...etc",I worked at Cadence Design Systems full-time for more than a year,(1) Salary is pretty generous BUT you have to negotiate during offer stage (2) Onsite cafe (3) Relax work environment (4) Plenty parking (overflow parking at Building 11 is insanely empty) (5) Layoff package is pretty generous,"(1) Chip enumeration system designs are NOT stable enough, and is ultra prone to temp delta. (2) Hidden layoffs occurs all the time and HR always find way to get around CA's WARN requirement. (3) Too many knowledge concentrate on few people (4) Not a stable company (5) Products are mediocre quality","3.0
★★★★★",Cadence-Design-Systems
Tue Jun 02 2020 13:59:40 GMT+0900 (Korean Standard Time), Design Engineer,"San Jose, CA",Former Employee ,Awesome company to work for,I worked at Cadence Design Systems full-time for more than 3 years,Amazing work life balance and career opportunity for starters,Less compensation compared to market,"4.0
★★★★★",Cadence-Design-Systems
Thu May 28 2020 13:48:40 GMT+0900 (Korean Standard Time), Lead Applications Engineer,"San Jose, CA",Current Employee ,Very supportive company,I have been working at Cadence Design Systems full-time for more than 3 years,"Supportive, work life balance, very nice people to work with",Wage is not high for junior people,"4.0
★★★★★",Cadence-Design-Systems
Sun May 24 2020 12:14:30 GMT+0900 (Korean Standard Time), Senior Principal Applications Engineer,"San Jose, CA",Current Employee ,good company,I have been working at Cadence Design Systems full-time,"flexible working hours, friendly working environment",sometimes need to work under high pressure for high demanding customer,"4.0
★★★★★",Cadence-Design-Systems
Fri Jun 05 2020 14:52:41 GMT+0900 (Korean Standard Time), Engineering,"San Jose, CA",Current Employee ,"No growth opportunities, lot of work and internal BS",I have been working at Cadence Design Systems full-time for more than 3 years,"Flexible hours, WFH, Smart colleagues","No work-life balance, No real diversity, no career growth opportunities in technical roles","1.0
★★★★★",Cadence-Design-Systems
Fri Mar 27 2020 08:56:19 GMT+0900 (Korean Standard Time), Group Director,"San Jose, CA",Former Employee ,Great place,I worked at Cadence Design Systems full-time for more than 10 years,Peofessional challenging culture people benefits,Driving distance and some business not atrong,"5.0
★★★★★",Cadence-Design-Systems
Tue Mar 24 2020 21:39:56 GMT+0900 (Korean Standard Time), Software Engineer,"San Jose, CA",Current Employee ,Entry level software engineer,I have been working at Cadence Design Systems full-time for less than a year,"relative relax environment, experienced co-workers","cafe not good, lack of energy","4.0
★★★★★",Cadence-Design-Systems
Tue Mar 10 2020 01:07:13 GMT+0900 (Korean Standard Time), Lead Applications Engineer,"San Jose, CA",Current Employee ,Decent company to work for,I have been working at Cadence Design Systems full-time for more than 3 years,Awesome employees who help each other. Decent benefits.,"Many management folks doesn't understand the nuisances of our role and the product , setting unfair expectations with the Customers leading to really long work hours. Compensation is very skewed for the same role.","5.0
★★★★★",Cadence-Design-Systems
Sat Mar 21 2020 09:03:23 GMT+0900 (Korean Standard Time), Senior Principal Software Engineer,"Chelmsford, MA",Former Employee ,Good place to work,I worked at Cadence Design Systems full-time for more than 10 years,Talented teams. Excellent executive management.,Too much middle management which gets in the way of itself. Many acquisitions from disparate areas make coordination between teams a challenge.,"3.0
★★★★★",Cadence-Design-Systems
