date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Mon Jun 01 2020 09:55:36 GMT+0900 (Korean Standard Time), Marketing Director,"Troy, MI",Current Employee ,A company led by Values! A rarity today,I have been working at Ciber full-time,A value led organization Meritocratic Culture Excellent Client and Employee Relationships A complete pleasure to be part of this organization. Great career growth opportunities.,"In the last 5+ years, I have not had a negative experience. People do come first here!","5.0
★★★★★",Ciber
Tue Jun 09 2020 03:59:58 GMT+0900 (Korean Standard Time), Senior Solutions Architect,,Current Employee ,"Wonderful People, New upper management",I have been working at Ciber full-time for more than 5 years,"Incredibly talented team, great communications, great team work","New Management HTC, incredibly poor benefits","2.0
★★★★★",Ciber
Wed Jun 17 2020 13:38:41 GMT+0900 (Korean Standard Time), Senior Technical Consultant,,Current Employee ,It's a job,I have been working at Ciber full-time,"Regular paychecks, decent health benefits, nice people","Very unenlightened leadership with no strategic vision. Everything is money first people second... penny wise, pound foolish. No cost of living raises and minimal support. Archaic PTO and sick time policy","1.0
★★★★★",Ciber
Thu Apr 30 2020 09:06:42 GMT+0900 (Korean Standard Time), Senior Consultant,,Current Employee ,Grateful,I have been working at Ciber full-time for more than 3 years,"Working hard to keep us employed during Covid, decent pay, executive team is hands on and wants to help, a lot of capabilities and services and solid team work","They expect you to do additional work around helping in other areas of the clients business like figuring was to innovate or leverage new technologies. Good for the client, but not so great for us consultants if we are busy.","4.0
★★★★★",Ciber
Wed May 13 2020 13:00:32 GMT+0900 (Korean Standard Time), Senior Frontend Engineer,"Orlando, FL",Current Employee ,"Culture is average, good team, salary is good",I have been working at Ciber full-time for less than a year,Salary is higher than average,"No long term plans, no career planning, processes are not clear","3.0
★★★★★",Ciber
Tue Apr 21 2020 13:13:38 GMT+0900 (Korean Standard Time), Senior Technical Recruiter,,Current Employee ,Love the people you work with,I have been working at Ciber full-time for more than 8 years,"The people. The work. The environment. The flexibility. Competitive salary, full benefits offering (even for IT consultants!). The fact that we offer consultants the option for full-time benefits. Awesome sales teams and directors. Stay busy...time goes fast. Working remote. Team collaboration / team work.",number of PTO days to use,"5.0
★★★★★",Ciber
Mon Mar 30 2020 05:56:57 GMT+0900 (Korean Standard Time), Senior Staffing Specialist,"Troy, MI",Current Employee ,Great to be back!,I have been working at Ciber full-time for less than a year,- Excellent management team - Work/life balance - Positive environment,- Holidays/Vacation time isn't competitive,"5.0
★★★★★",Ciber
Thu Apr 09 2020 07:43:24 GMT+0900 (Korean Standard Time), Senior Java Developer,"Dearborn, MI",Current Employee ,Working at Ciber,I have been working at Ciber full-time for more than 3 years,"Strong Immigration team, good for people with visas",Pay is way less than market standards,"3.0
★★★★★",Ciber
Fri Apr 17 2020 10:04:47 GMT+0900 (Korean Standard Time), Principal Consultant,,Current Employee ,Company is Not What it Seems,I have been working at Ciber full-time for more than a year,"Below the senior leadership level, there are lots of great people who care and work hard to make a difference in spite of senior leadership.","Too many to list. The company operates like it is 1978. No modern strategy, no modern benefits, and treats employees like they are indentured. Stay away.","1.0
★★★★★",Ciber
Wed Apr 08 2020 08:04:29 GMT+0900 (Korean Standard Time), PMa,"Dearborn, MI",Former Employee ,If I could give no stars I would,I worked at Ciber full-time for more than a year,Coworkers (some) but really none,"Horrid management. No raises for people who have worked for company for 4+ years, only concerned with the client, not the employees. Politics are big, you’re either in the in crowd or you’re not, and if you’re not, you better not mess up once or you’re on a PIP on your way out the door. Micromanagers for no reason. Would NOT recommend.","1.0
★★★★★",Ciber
Thu Mar 05 2020 04:04:23 GMT+0900 (Korean Standard Time), Senior Security Consultant,"Chicago, IL",Former Employee ,Good Company to work for but,I worked at Ciber full-time for more than a year,Good Company to work for 2. Medium pay master 3. Relaxed work -life balance,Not understanding Managers2. Disconnect of Manager -Reportee,"3.0
★★★★★",Ciber
Mon Feb 17 2020 12:58:11 GMT+0900 (Korean Standard Time), Financial Analyst,,Current Employee ,Meh,I have been working at Ciber full-time for more than 8 years,401k match is decent at least,"Lots of inner company drama, hard to get a raise and/or recognition. Can count on one hand how many performance reviews I’ve gotten (and I’ve been there many years)","3.0
★★★★★",Ciber
Thu Jan 16 2020 16:24:52 GMT+0900 (Korean Standard Time), Account Manager,,Current Employee ,Working hard to gain traction,I have been working at Ciber full-time,"Local PNW office professionally staffed, highly capable team. Strong local leadership.",The regional offices are not empowered to make decisions and bureaucracy at the top levels prevent the company from getting ahead.,"2.0
★★★★★",Ciber
Tue Dec 03 2019 05:34:51 GMT+0900 (Korean Standard Time), Financial,"Southfield, MI",Former Employee ,Great People to work with,I worked at Ciber full-time for more than a year,"Awesome Staff, always fun work to do",No career mobility in the company,"4.0
★★★★★",Ciber
Fri Dec 06 2019 08:01:47 GMT+0900 (Korean Standard Time),,"Orlando, FL",Current Employee ,I do not recommend this employer,I have been working at Ciber full-time for more than 5 years,I cannot name any pros working for this company,No communication. No raise in 4+ yrs. Poor management and leadership.,"1.0
★★★★★",Ciber
