date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Wed Jan 22 2020 08:38:01 GMT+0900 (Korean Standard Time), Market Research Analyst II,"Richmond, VA",Current Employee ,Best company I had ever worked for in 3 decades,I have been working at CoStar Group full-time for more than 3 years,Senior Management is always cheerful and knows your name. All of them are amazing. We have a company card to pay for Lunch and they provide you with lots of healthy snack to keep you motivated. You can see Andy having Lunch in the cafeteria with anyone at lunch time. Very down to Earth and graceful personality.,We have to share our building.,"5.0
★★★★★",CoStar-Group
Thu Jul 16 2020 10:23:06 GMT+0900 (Korean Standard Time), Inside Sales Representative,,Current Employee ,Great Place to Make Money,I have been working at CoStar Group full-time,The product is the best out and there and it sells itself. They give us free food. They give us leads. Management is always trying to improve. I cleared 6 figures at my first year at the company.,Lack of communication between departments,"5.0
★★★★★",CoStar-Group
Thu Jul 16 2020 10:49:00 GMT+0900 (Korean Standard Time), Inside Sales Representative,"Washington, DC",Current Employee ,Great place to start a career and make money,I have been working at CoStar Group full-time for more than a year,"The inside sales team is an entry level sales job. You will learn to develop real sale skills, and you are selling a top of the line marketing product to brokers and owners. The product really does sell itself making your job easier, and more enjoyable. The benefits are amazing: Dental, Vision, Medical, travel benefits (money on your metro card every month), and free food at the office. The environment is amazing and the management team is really supportive of your goals. I had ZERO sales experience coming in to this job, made six figures in my first year, have been promoted twice, and am getting ready to advance to field sales. This job is 100% what you put into it, is what you will get out of it.",Communication from departments is lacking due to the growth of the company. Some departments are understaffed causing some delays in the operation side.,"5.0
★★★★★",CoStar-Group
Wed Jul 15 2020 11:13:00 GMT+0900 (Korean Standard Time), Senior Account Manager,"Washington, DC",Former Employee ,Great Company,I worked at CoStar Group full-time for more than 3 years,Experience. Growth. Culture. CEO. Motivating,Inexperienced managers who managed in demotivating ways.,"4.0
★★★★★",CoStar-Group
Tue Jul 21 2020 17:49:46 GMT+0900 (Korean Standard Time), Tenant Research Associate,"Richmond, VA",Current Employee ,DO NOT GET SUCKED FOR THE MONEY!!!,I have been working at CoStar Group full-time for more than 3 years,Pay good benefits coworkers Christmas party great view,"They hate to be the word ""call-center,"" but that's all it is glorified call-center. If you do not like outbound cold calling, please do not consider it. The metrics are unstable and never match the workload. The projects are never thought out thoroughly; thus, they are continually making changes. There is no real growth besides going to a different department with the same duties the only difference is audiences. Diversity and inclusion are only being addressed because of George Floyd, and the CEO has been missing in action but will send out an email of businesses he has acquired. The Vice-president believes she is doing everyone a favor by announcing she has an ""African-American"" on her executive team, thanks (about as equivalent as saying I have a black friend). Due to COVID-19, many businesses are closed or are operating with limited staff, which makes obtaining interview goals impossible, but they add more duties and drill making calls. Management is just as stressed out as their team, which creates uncertainty within the work environment. I am sure the HR team will reply with a fix, but it basically boils down to a monopolizing company that mirrors its leader. I advise any new employees, especially college grads work there for a year before making any significant purchases; there is nothing worst than being stuck at a job you're not happy at because of the excitement of the salary. If you do not have a degree, I feel bad for you! You can be a consistent top performer and have worked there for years and will not get promoted because they are degree driven versus tenure and experience, so they lose many valuable employees. We have a VP that is disconnected from reality that he is unrelatable to the voices of the employees; he rather ignores and makes jokes instead of being a leader that listens.","2.0
★★★★★",CoStar-Group
Thu Jul 16 2020 07:44:32 GMT+0900 (Korean Standard Time), Territory Representative,,Former Employee ,Good Pay for a Call Center,I worked at CoStar Group full-time for more than a year,"Nice office, good benefits, friendly coworkers","Day to day experience is pretty miserable. Expect you to make 80 phone calls, often saying the exact same thing. They really don't care about the customer either. Would rather get you to make the sale, and then forget all about them.","2.0
★★★★★",CoStar-Group
Wed Jul 01 2020 12:20:23 GMT+0900 (Korean Standard Time), Director,,Former Employee ,Good company to work for if you are young,I worked at CoStar Group full-time for more than 8 years,"Snacks are free, good people to work with for the most part",Some managers lack emotional intelligence,"3.0
★★★★★",CoStar-Group
Wed Jul 08 2020 05:20:42 GMT+0900 (Korean Standard Time), Inside Sales Representative,"Washington, DC",Current Employee ,Run. Don't walk away if you have integrity.,I have been working at CoStar Group full-time for more than 3 years,"You get a “base” pay that is lower-middle at best for a company that touts themselves more of a high end blue chip, tech company. I'm told good benefits. We used to have free, processed, boxed salads for lunch at the office. The platform is pretty useful but it doesn't come anywhere close to the stuff you have to vomit out before a client hangs up. They haven't laid off anyone. Yet. Did they lower quotas? No. Did they look at helping in ANY way like most real tech companies did? Not a chance. Did they make it harder to earn a living a month before COVID hit and then leave us on the beach? Of course. *read the advice section* If you don't mind the same thing over and over again, not learn anything new, are a great at stretching the truth, and willing to sell your soul to make a buck, this is the place for you.","Where do I begin and how do I give you the most brutally honest review I can? I guess recruitment is a good place to start. Don’t get it twisted, there is no “base”, you are an hourly employee and treated as such. Your “base” is trash and heaven help you if there is a slow month because living in DC/VA/MD isn’t cheap! Even the “perks” posted like being invited to President’s Club is a bold face lie (HR, I hope you fix your ads!). Admittedly, the original commission structure was very good about 4 years ago (more on that later)… On the surface, they will try to find people fresh out of college to give them an “opportunity”, in reality, it’s because they know anyone who has worked in sales would never take this job. As most too good to be true opportunities start, they will try and lure you in by wowing/flashing you with commission checks from previous sales reps so it all seems real, but what they don’t want you to know is that those successful people had either cheated the system or the structure that was in place was okay because management/shareholders hadn’t dug into your paycheck yet (check out the stock price if you are wondering—pay goes down, price goes up). The other part to it is that they know you have no frame of reference because you just graduated, so these numbers seem amazing for someone who was probably eating ramen and bottom shelf beer a few months ago.. **REMEMBER THAT YOUR COMMISSIONS ARE TAXED AT HIGHER RATES THAN ANY OTHER MONEY STREAMS*** just cut 40% off the top to make the math easy for yourself. There continues to be so much disconnect between HR, Finance, and Management that they find a way to increase the prices to clients while SOMEHOW still figuring out a way to lower your paycheck. A fun ritual that they play is that they bring us all together for a team building exercise, drop a “new and improved” payout plan and then barricade themselves from talking to anyone so you can’t ask them questions. Ex: Newest plan benefited some +1%, but punished most others commissions -9%.... How you will be treated: You are a joke at best and a metric at worst. The fact they call you by your name and not an employee number is a shocker as most managers do not give one flip about clients or their subordinates. After being micromanaged with times (remember, this is an hourly job!), you are given a lousy script to read and if you do not read it verbatim, they will threaten you with write ups and firing you. This is not a sales job. This is showing your ability to pick up the phone and how well you can read. The script isn't awful the first time a client hears it, but, they want you to the say the same words to the same client every 60 days as if it was the last sales rep that was the issue instead of realizing there might be different situations for different people. You get to look at notes seeing that 10 different reps had tried calling within the past two months (I hope you didn't forget about those metrics!) and hoping that they don't pick up only to yell why the company calls so much.. This is partly due to our research team also having insane metrics, the result is the client being bombarded every few days by different people calling. The fun part is getting the sale, but, hold your horses if you think getting paid is easy. You can get a client to sign up, but the policy is that you have to get payment over the phone or you WILL NOT GET PAID. If the client doesn't feel comfortable giving you their payment information via the phone, tough luck, the company will keep the revenue and tell you to kick bricks (and if you think this happens every once in a while, have fun learning the hard way).-- Clients have options to sign up without you and that commission check that you count on so much is a lot lighter when you lose your deal but the company still keeps it all. -- The inside managers have 0 backbone when it comes to defending reps keeping their deals when outside managers/execs come and swoop deals. You will be forced to remember a ton of rules that change every few months in order for more of your deals to be pulled. Leadership made a rule change that required reps wait a few days before helping a hot lead. This was thinly masked as a better client experience (which doesn't even make sense because now the client went on their merry way without realizing the bait and switch for a few days resulting in lost more time), when the obvious truth was that they just wanted more people to sign up online and cut expenses. Did I mention clawbacks are a real thing? If a client doesn't fulfill their full term length or even decides they like the service but they don’t want it to auto renew, you will have that deal pulled from you on your next commission check... EVEN THOUGH you won't see a penny if the client renews their subscriptions. Let's finish with company culture. We had a company meeting where senior leadership finally stopped counting all the money and realized that our name/brand has been dragged through the mud. Was it client services defending policies? No. It was sales reps willing to say anything to get a sale by over promising and under delivering. Everything is transactional selling and the more you can oversell glitchy features and tell them that this will fix all life's problems, the better. How many companies show loyalty to their oldest clients by increasing pricing on clients that have been with us for decades 500%+? Management isn't afraid of saying, ""live with the price increase or we will find someone else who will""... and by not afraid, I mean the finance department thinks it is a good idea and leaves it to the sales reps to deliver the news/take the brunt of the anger... And when the client pulls their business, the rep delivering the bad news will take the reversal on their next commission check. The only time that you will ever interact with finance is when they raise the prices on the services with no notice or when they accidentally give the sales floor a couple extra bucks before Christmas and then take it back on the next paycheck. Happy Holidays! I was going to list career advancement in the pro section, but I have found more people coming back to Loopnet after moving on ""up"" to sell CoStar or flat out quitting. Management wants turnover so they continue to exploit naive, young professionals who have no frame of reference, don't have to support a family, and will leave for better jobs so they can collect on the renewals. The longer you stay, the more you will work for the same to less pay. Feel free to ignore the warnings, but don't say that no one warned you.","1.0
★★★★★",CoStar-Group
Wed May 27 2020 15:47:06 GMT+0900 (Korean Standard Time),,,Current Employee ,You get what you put in!,I have been working at CoStar Group full-time for more than a year,"You work for the #1 brand within the industry it's in (CRE Data, CRE Marketing, Multifamily, etc) and the product is constantly innovating its product to hold that #1 spot where there's stability. (especially now in the midst of Covid) There's always new acquisitions and new development across technology, product and marketing so there's always new projects to work on. Good autonomy and tenure. There's managers in every department who've been here 10-25 years and managers are there to support your work, but not micromanage. Good work/life balance. You're almost never working overtime and have flexible start/end times. Great benefits. Almost 100% paid medical, dental and vision and matching 401K given immediately when joining the company.","Work from home should be a part of the new culture, post Covid. More structure on how job requirement change and giving people more grace to meet deadlines","5.0
★★★★★",CoStar-Group
Sun May 24 2020 10:37:19 GMT+0900 (Korean Standard Time), Research Associate,"San Diego, CA",Former Employee ,Great job for a parent or someone who simply needs consistency,I worked at CoStar Group full-time for more than 3 years,"Good benefits, reliable income, consistency","No growth, don't care about employees, micro management, mundane","3.0
★★★★★",CoStar-Group
