date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Tue Sep 17 2019 15:42:33 GMT+0900 (Korean Standard Time), Customer Service Representative,"Redland, MD",Former Employee ,Great company to work for,I worked at Esri full-time for less than a year,"Great pay, teamwork, CEO is very hands-on.",Overwhelming amount of information to learn.,"5.0
★★★★★",Esri
Sun Jul 19 2020 23:34:07 GMT+0900 (Korean Standard Time), Customer Service Representative (CSR),"Redlands, CA",Former Employee ,Not a bad place to work,I worked at Esri full-time for less than a year,Everyone is very friendly and helpful,Work is tedious and training is extensive,"4.0
★★★★★",Esri
Fri Jul 17 2020 12:15:56 GMT+0900 (Korean Standard Time),,"Saint Louis, MO",Current Employee ,Friendly staff,I have been working at Esri full-time for more than a year,Everyone is super friendly and easy going.,They have a product to sell that might not always perfectly align with a customers needs.,"5.0
★★★★★",Esri
Wed Jul 15 2020 07:38:08 GMT+0900 (Korean Standard Time), Online Support Analyst,"Charlotte, NC",Current Employee ,Great company to get your foot in the GIS industry door,I have been working at Esri full-time for less than a year,"Great benefits, great company culture, many learning opportunities","Average pay, flat career movement within the company","4.0
★★★★★",Esri
Mon Jul 06 2020 16:22:33 GMT+0900 (Korean Standard Time), Project Manager,"Redlands, CA",Former Employee ,Great company,I worked at Esri full-time for less than a year,Great healthcare that is above industry standards.,Flat organizational structure that is falling behind.,"5.0
★★★★★",Esri
Thu Jun 25 2020 00:00:04 GMT+0900 (Korean Standard Time), Credit and Collections,"Redlands, CA",Current Employee ,Awesome company / OK on the pay,I have been working at Esri full-time for more than a year,lots of perks and benefits package.,there's not a lot for growth.,"4.0
★★★★★",Esri
Wed Jun 17 2020 14:25:50 GMT+0900 (Korean Standard Time),,,Current Employee ,Helpful people with great values,I have been working at Esri full-time for more than 10 years,"I Enjoy the entrepreneurial spirit, smart colleagues, wonderful health insurance, diversity and inclusion initiative and learning something new every day.","Not much vertical movement, create your own career path, but some guidance coming soon on this.","4.0
★★★★★",Esri
Thu Jun 11 2020 09:52:37 GMT+0900 (Korean Standard Time), Product Engineer,"Redlands, CA",Current Employee ,Good company,I have been working at Esri full-time for more than 10 years,Good focus on customers and good benefits for employees.,Management practices vary widely in different parts of the company.,"4.0
★★★★★",Esri
Mon Jun 08 2020 07:25:05 GMT+0900 (Korean Standard Time), Technical Support Analyst,"Charlotte, NC",Current Employee ,Great for Entry Level into GIS,I have been working at Esri full-time for more than a year,"Amazing environment and culture, people are always willing to help and I feel like I fit in even with such diverse personalities. There's opportunities for involvement in the company and community outside of your day to day job (think teambuilding, GeoMentoring, sustainability, outreach). Job security, technical and personal training opportunities, and more challenging/rewarding than many entry level GIS jobs. Tuition reimbursement is also great.","- No negotiation on pay - Bad apples are there to stay in all positions which really discourages people who are truly trying and working hard to stay motivated since others can get by with less than the bare minimum - Internal movement takes forever, and is sometimes discouraged - Some depts are better than others at transparency and employee feedback","4.0
★★★★★",Esri
Sun Jul 12 2020 13:46:10 GMT+0900 (Korean Standard Time),,,Former Employee ,Avoid,I worked at Esri full-time,Its hard to think of a pro,"Incompetent management, high tunrover, no inovation, cuthroat culture, unfriendly co-workers, malicious management, no guarantee of full 40 hour pay, unprofessional enviroment, company on decline, unstable employees who can be dangerous or mentally unstable, lots of dark stories of employees being pushed to breaking point","1.0
★★★★★",Esri
Thu May 28 2020 20:46:42 GMT+0900 (Korean Standard Time), Web Developer,"Redlands, CA",Current Employee ,About Company,I have been working at Esri full-time for more than 3 years,"Lots of opportunities, good pay and great benefits. Reasonable work life balance. The work done has noticeable use and impact in the world.",Nothing much to share here,"4.0
★★★★★",Esri
Thu May 21 2020 10:52:19 GMT+0900 (Korean Standard Time), Senior Content Producer,"Redlands, CA",Current Employee ,one-of-a-kind company and culture,I have been working at Esri full-time for more than 10 years,"This is a company doing very important work for the world. For GIS people, Esri is ground zero. The Redlands campus has the highest concentration of GIS intelligence on the planet. But it's also a global company with a footprint in virtually every country in the world. This is a smart, fun, interesting, and interested collection of people. ArcGIS products set the industry standards literally. If you've got the skills and like to work hard, the pay can be quite good. Not Silicon Valley level pay, but pretty darn good and getting more competitive. Cost of living in Redlands is half of Santa Clara, if that. Redlands is a nice little town, detached enough from the So Cal megalopolis to feel separate. Palm Springs, mountains, beaches all close by. The COVID situation has proven that this company cares about employees. We have actually pivoted beautifully to remote work. Jack and Laura Dangermond are titans of the tech world, but also conservationists (look up Dangermond Preserve). One last thing: this place is financially rock solid. In an age of venture capital and fly-by-night startups, this company is privately held, has zero debt, and growing steadily for decades into a multi-billion dollar concern. Business schools should study how this place is run.","Upper management is well entrenched, which is only a con for middle managers trying to break into the inner circle.","5.0
★★★★★",Esri
Tue Jun 09 2020 21:11:04 GMT+0900 (Korean Standard Time),,"Redlands, CA",Current Employee ,Pay close attention to the negative reviews,I have been working at Esri full-time for more than a year,"The products and how it is used throughout the world is significant. A positive experience can be had, but depends heavily on your manager and team.","The negative reviews about the old guard are completely true. The culture at Esri can be outright toxic and hostile. While there are some truly amazing and inspiring people that work here, they are quickly drowned out by those that are manipulative and completely self-serving. If you are considering working here then know that HR at Esri DOES NOT CARE ABOUT YOUR CONCERNS. They truly are there to only represent the company, and care very little about mitigating or representing anything you may be concerned about. They will not get involved at all to try to improve things, but play defense only. It is not impossible to have a positive experience here, but you may find yourself wondering why it should be so hard to do so. Just remember to be careful with who you trust, and question everything that you're told about how the work gets done.","1.0
★★★★★",Esri
Mon May 04 2020 20:59:39 GMT+0900 (Korean Standard Time), Software Development Engineer,"Redlands, CA",Current Employee ,User Driven,I have been working at Esri full-time for more than 5 years,Good Life and work balance. Research potential,"Flat organization structure, poor immigration policies","4.0
★★★★★",Esri
Mon May 11 2020 07:30:48 GMT+0900 (Korean Standard Time), Technical Support Analyst,,Former Employee ,"Great benefits, but bad management.",I worked at Esri full-time for more than a year,Excellent benefits and decent pay.,"If you want to succeed in this position you have to work long hours (minimum 45 hours a week if you want to hit metrics- and that's if the technology comes easy to you). During your first week of training, they mention if you are in this position for more than a few years you will get burnt out, which is true. If you want to move up in the company, it is very competitive. Management is poor and can be a bit shady due to lack of transparency and communication. It is challenging to succeed here, and it can be a ""boys club"".","2.0
★★★★★",Esri
Sun May 10 2020 20:56:02 GMT+0900 (Korean Standard Time), Senior Technical Analyst,"Redlands, CA",Current Employee ,Meaningful works,I have been working at Esri full-time for more than 10 years,Good Work Life Balance is very good,nothing I can think of,"3.0
★★★★★",Esri
Wed Apr 15 2020 09:16:58 GMT+0900 (Korean Standard Time), Software Engineer,"Redlands, CA",Current Employee ,"good place to work, good culture",I have been working at Esri full-time for more than 10 years,"Good culture, nice campus, interesting problems to solve",low pay compared to other software companies,"4.0
★★★★★",Esri
Fri Apr 10 2020 09:47:49 GMT+0900 (Korean Standard Time), Don't Know,"Redlands, CA",Current Employee ,Opportunity and challenge,I have been working at Esri full-time for more than 3 years,"big company with a small feel, lots of talented people across all specialties","too loosely structured for its size, the remaining ""old guard"" can be challenging but can mostly be avoided","4.0
★★★★★",Esri
Tue Apr 07 2020 14:56:11 GMT+0900 (Korean Standard Time), Readiness Lead,"Redlands, CA",Current Employee ,"Great Work as a young professional, could be a better in some areas",I have been working at Esri full-time for more than a year,Good work environment in Support Services Very collaborative Learn a ton of knowledge about all esri products,Pay could be better No negotiating Company is still run like a mom and pop shop (unnecessary wait times - coperate aproval),"4.0
★★★★★",Esri
Sun Mar 29 2020 08:38:54 GMT+0900 (Korean Standard Time), Account Manager,"Vienna, VA",Current Employee ,Appreciation,I have been working at Esri full-time for more than a year,"In the face of our current crisis, our management has done an incredible job at being calm and focused. This is a great company with a great mission and a solid management team founded by a visionary who treats his employees like family. And not to be too proud, but the map that’s been shown on TV from Johns Hopkins is Esri behind the scenes!",Not being able to go into work.,"5.0
★★★★★",Esri
Mon Mar 30 2020 10:15:47 GMT+0900 (Korean Standard Time), Inside Sales Representative,"Redlands, CA",Current Employee ,A wonderful place to work,I have been working at Esri full-time for more than 3 years,"Wonderful people, beautiful campus, a strong mission, support for internal promotion, opportunity to carve your own way, a learn/grow environment, & excellent work-life balance.","Though improving, departments are fairly siloed leading to some red tape & duplicated efforts. Your experience can be heavily determined by your director or manager.","4.0
★★★★★",Esri
Fri May 01 2020 09:10:52 GMT+0900 (Korean Standard Time),,,Current Employee ,"Awful communication, mediocre tech industry benefits, low pay for the job, and lack of innovation",I have been working at Esri full-time,It is sometimes easy to work remotely.,"Managers do not communicate with you. Benefits and salary are not as good as other tech companies. No sense of innovation. The company responds with ""we've always done it this way."" Redlands is awful. Nothing to do, bad air quality, expensive for not being close to anything, etc","1.0
★★★★★",Esri
Thu Mar 12 2020 12:41:11 GMT+0900 (Korean Standard Time), Software Development Engineer,"Redlands, CA",Former Employee ,Overall good experience,I worked at Esri full-time for more than a year,Personal and work life balance is great. Great work culture. I got really helpful and awesome team and manager. Learnt a great deal.,"Company is located in a small town. Need to drive to the nearby cities to enjoy good restaurants, mall, etc.","4.0
★★★★★",Esri
Sat Mar 07 2020 11:38:08 GMT+0900 (Korean Standard Time), Solutions Engineer,"Redlands, CA",Former Employee ,Not worth the hassle,I worked at Esri full-time for more than 3 years,Good benefits; having Esri on resume looks good,"Lack of life/work balance; I would describe the company culture as ""casual cutthroat""; co-workers are rude, manipulative, and can be down right mean; management that doesn't know how to manage people; seems to be a big drinking culture/problem at the company and in Redlands in general. Also, Redlands as a place to live leaves so much to be desired in terms of culture, people, and things to do.","2.0
★★★★★",Esri
Wed Mar 04 2020 15:06:27 GMT+0900 (Korean Standard Time),,,Current Employee ,Could be a good place to work,I have been working at Esri full-time for more than 3 years,some of the people are really nice,Micro manage and won't think out of the box,"2.0
★★★★★",Esri
Wed Feb 12 2020 16:40:04 GMT+0900 (Korean Standard Time), Geospatial Analyst,"Redlands, CA",Former Employee ,Good and Bad,I worked at Esri full-time for more than 5 years,"Nice Campus, Coworkers were fun","Very poor pay, benefits are so-so, no career path","4.0
★★★★★",Esri
