date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Thu Jul 23 2020 06:36:03 GMT+0900 (Korean Standard Time), Account Executive,"Indianapolis, IN",Current Employee ,Blessed to be here,I have been working at HubSpot full-time for more than a year,"Autonomy, path for career growth, support, and forward thinking company",Selling for a public company in a very competitive industry,"5.0
★★★★★",HubSpot
Tue Jul 21 2020 16:04:46 GMT+0900 (Korean Standard Time), Director,"Cambridge, MA",Current Employee ,The hype is real and the team is amazing,I have been working at HubSpot full-time for more than a year,"Humble: There are no egos at HubSpot. Everyone is genuinely working to solve for the customer first, the team second and themselves last. We all know that we grow better together. Empathetic: Leaders at HubSpot really care about their teams. There is no finger pointing when things go wrong, instead everyone just jumps in together and solves the problem. Adaptable: The company's response to COVID has been amazing. Tons of communication, flexibility and rapid evolution. How many other companies hired teachers to teach multiple classes almost every day from March-June? Remarkable: I have never felt like I have been surrounded with so much talent in my career. I am honestly floored by the quality of people that I work with every day at every level of the company. The people here are not only amazing already, but everyone is pushing to be better every day. Transparent: Everything is shared with the whole company. EVERYTHING. Board slides, sales results, financial data, etc. It's all there because HubSpot leadership trusts employees can handle knowing the truth and because they know that this transparency is how we all can succeed together.",HubSpot does not pay top of market on salaries. I believe that is intentional because it pulls in people who believe in the mission vs those who are purely financially motivated. It also gives everyone an incentive to maximize enterprise value and increase the stock price (every employee is a shareholder).,"5.0
★★★★★",HubSpot
Wed Jul 22 2020 08:32:03 GMT+0900 (Korean Standard Time),,"Cambridge, MA",Current Employee ,H-E-A-R-T,I have been working at HubSpot full-time for less than a year,"HubSpot truly embodies the appreciation and execution of ""HEART"" qualities: Humble Empathetic Adaptable Remarkable Transparent My perception of HubSpot from the outside looking in set the bar pretty high on what to expect. HubSpot has absolutely exceeded my expectations and reaffirmed my decision to join. I see big things in HubSpot's future and can't wait to be part of the ride.",The fast pace may not be a great fit for everyone,"5.0
★★★★★",HubSpot
Wed Jul 22 2020 15:01:56 GMT+0900 (Korean Standard Time), Marketing Director,,Current Employee ,The Gold Standard,I have been working at HubSpot full-time for more than 3 years,"Since the day that I started at HubSpot I have been both challenged and trusted to do my job well. Leaders across the organization have consistently invested in me and my career, allowing me to become more confident in myself and my ability to run a successful team. I have worked in tech for years, and I have never seen the type of transparency that HubSpot celebrates every day. The company will not shy away from addressing topics of concern, and does the work to support our employees through employee resource groups, external resources and beyond. Tech can be known for job hopping, but I am definitely not leaving anytime soon. I have never doubted my ability to continue to grow and learn at HubSpot.","Being an external candidate, hired directly into a management role was intimidating. Often times in decks & internal resources acronyms and historical references make it hard to get onboarded independently without having to ask for clarity. I'd encourage employees to think back to their first day, and create internal resources that are digestible no matter how long you have been working at HubSpot.","5.0
★★★★★",HubSpot
Tue Jul 21 2020 12:32:01 GMT+0900 (Korean Standard Time), Assistant General Counsel,"Cambridge, MA",Current Employee ,Amazing place to work that walks the walk,I have been working at HubSpot full-time for more than 3 years,"I can't say enough about how proud I am to be a HubSpotter...and that's even more true now after management's transparent and thoughtful responses to the COVID-19 pandemic and the current events involving Black Lives Matter. We have a executive leadership team that truly cares about the company and puts a ton of time and energy into making HubSpot a great place to work, a great place to be a customer, a great place to partner, etc. During the pandemic, the executive leadership team hosted ongoing ""Ask Me Anything"" sessions for the whole company to literally ask them anything. It ranges from daily exercise habits to tough questions on how we're handling certain situations...and it's just amazing to see a leadership team this transparent and honest with its employees. It makes so many of us proud to work here and to be a part of a company that will truly leave its mark in the tech landscape. I'm also endlessly proud to have a CEO that truly understands the importance of having strong women on his executive leadership team and on his board of directors. This is all on top of the usual perks that come with a tech company (coffee bar, smoothie bar, on-site gym, glorious, stocked kitchens, etc...)...but those perks pale in comparison to the real heart underlying HubSpot.",Every company has some things that could be better...but those are largely outweighed by all the pros at HubSpot.,"5.0
★★★★★",HubSpot
Tue Jul 21 2020 12:39:51 GMT+0900 (Korean Standard Time),,"Cambridge, MA",Current Employee ,Won't be leaving anytime soon,I have been working at HubSpot full-time for more than 3 years,"It's rare to find a company that actually walks the walk when it comes to culture. HubSpot isn't perfect, but it tries really hard to be a great place to work. Especially during a time of anxiety and confusion I've been so impressed with leadership's transparency, empathy, and communication. It's a place where everyone can have an impact, where leadership actually reads feedback, and where customers do come first.","Any company that is rapidly scaling faces growing pains. The company still hasn't figured out processes for everything which can lead to confusion and cause friction, especially when it relates to the operating system or yearly planning. I do think that the recent leadership hires that have been made are really making a difference and I would encourage the company to keep learning from others.","5.0
★★★★★",HubSpot
Tue Jul 21 2020 12:40:07 GMT+0900 (Korean Standard Time), Learning Experience Designer,"Cambridge, MA",Current Employee ,Can't imagine being anywhere else.,I have been working at HubSpot full-time for more than 3 years,"2020 has been a hectic year, and while most people have had their work severely impacted, or had to worry about being a productive team member while caring for children, living with roommates, or sharing a workspace with their partner, I have had the luxury of working at HubSpot remotely. HubSpot has been accommodating as a remote employee, my manager has encouraged me to focus on my family when I need to, and the planning from an executive level has provided me comfort during an uncomfortable time. I have felt for a long time that HubSpot has been the best thing to happen to my career, but 2020 has solidified that in ways that I couldn't imagine.","Some might view this as a pro, but things move FAST. If you don't like change or being agile, it isn't the place for you. Embrace the speed, focus on the solution instead of the problem, and you'll be successful at HubSpot.","5.0
★★★★★",HubSpot
Tue Jul 21 2020 13:09:48 GMT+0900 (Korean Standard Time), Product Analyst,"Boston, MA",Current Employee ,Simply the best.,I have been working at HubSpot full-time for more than a year,"I can't speak highly enough about working at HubSpot. I feel so lucky to be here, every single day. HubSpot deeply cares about - and invests in - its people, and that permeates every aspect of working there. HubSpot also provides a lot of room for individual learning and career growth, in a supportive and collaborative environment.","Honestly, don't have any cons.","5.0
★★★★★",HubSpot
Tue Jul 21 2020 14:30:10 GMT+0900 (Korean Standard Time)," Vice President, Engineering","Cambridge, MA",Current Employee ,Never a dull moment,I have been working at HubSpot full-time for more than 8 years,"A culture of ownership and empowerment, and a great environment where you get to work with smart people, solve hard problems, and grow every day. HubSpot is walking the walk to become one of the most welcoming and rewarding workplaces out there.","Fast growth is a double edged sword. Sometimes it can be uncomfortable or extra challenging, but your manager, peers, and the team are rooting for you and there to help when you need them, and there is a huge appetite for change and innovation.","5.0
★★★★★",HubSpot
Fri Jul 10 2020 06:35:33 GMT+0900 (Korean Standard Time),,,Current Employee ,Supporting of employees during uncertain times,I have been working at HubSpot full-time for more than a year,"I've never been more proud to work at HubSpot than the last six months. In a time when the world is wildly uncertain and scary, HubSpot has gone above and beyond to communicate, be transparent, and support not only employees, but their families, our customers, partners and larger community. It's pretty rare you find an employer of this size able to adapt to the times, and be so understanding and empathetic of people's situations.","There's some lack of clarity around career growth, but I do know that it's in the works to better map it out for our department so people have a clear idea of what it takes to get to the next level.","5.0
★★★★★",HubSpot
