date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Tue Oct 08 2019 08:34:16 GMT+0900 (Korean Standard Time), Senior Cloud Engineer,"Tysons Corner, VA",Current Employee ,Amazing company to work with.,I have been working at MicroStrategy full-time for less than a year,One of the best and challenging environments I have ever worked in my life. Lots of opportunities and lots to learn.,Bootcamp may not be a necessary training for everyone at HQ.,"5.0
★★★★★",MicroStrategy
Tue Jul 07 2020 12:43:58 GMT+0900 (Korean Standard Time), Senior Consultant,,Former Employee ,Almighty $$$,I worked at MicroStrategy full-time for more than 5 years,"Amazing coworkers, you can make great friendships","C-level management doesn't care about people, only money counts.","2.0
★★★★★",MicroStrategy
Wed Jul 01 2020 18:59:33 GMT+0900 (Korean Standard Time), Senior Professional Service Manager,"South San Francisco, CA",Current Employee ,Eager Teammates and Quality Product,I have been working at MicroStrategy full-time for more than 3 years,Eager Teammates and Quality Product,Smaller company is at the whim of the economy.,"5.0
★★★★★",MicroStrategy
Sun Jul 05 2020 10:29:30 GMT+0900 (Korean Standard Time), Lead Support Engineer,"Tysons Corner, VA",Current Employee ,"Great to get Started, but don't plan on staying",I have been working at MicroStrategy full-time for more than 3 years,"Relaxed office culture, and initial training is decent. Gym and lounge amenities were nice.","Unreliable upper Management. Too many plans and changes, rapidly changing responsibilities. Lots of promises, no payoff. Targeted layoffs of high performing but vocal employees","2.0
★★★★★",MicroStrategy
Wed Jul 08 2020 11:03:00 GMT+0900 (Korean Standard Time), Vice President Product,"Tysons Corner, VA",Current Employee ,"Great people, polar leadership",I have been working at MicroStrategy full-time for more than 10 years,A fantastic set of fun and loyal people,Overall corporate vision and leadership,"2.0
★★★★★",MicroStrategy
Mon Mar 16 2020 12:54:51 GMT+0900 (Korean Standard Time), Software Engineer,"Tysons Corner, VA",Current Employee ,You're just a number to the company,I have been working at MicroStrategy full-time for more than 3 years,"-For a first job out of college, you'll get some good learning experience and will work in a traditional tech setting -Decent benefits with a good lounge and gym on site -Coworkers are amazing. Very intelligent, kind, and interesting people to work with. It's easy to make friendships here","The company does not care about its employees. The corona virus crisis highlighted this more than ever. When every other tech company in the area and the country was encouraging their employees to telework, MicroStrategy kept insisting everyone should be in the office unless they have an ""extreme emergency"". None of their emails ever stressed that the company was concerned about their workforce, they only mentioned how important the customers are. Furthermore, the CEO's personal email to the company was one of the most unempathetic things I've ever read. He spoke about the crisis in terms of statistics, saying that we shouldn't worry because there are much worse diseases out there. The icing on the cake: he essentially wrote ""some people will die but they're old so its okay, we really need to worry about the economy"". It really shows how disconnected he is from normal working people. My advice? If you end up here get what experience you can in the first two years then go elsewhere that actually thinks of its workforce like people and not numbers to their bottom line","2.0
★★★★★",MicroStrategy
Tue Jul 07 2020 19:30:48 GMT+0900 (Korean Standard Time), Senior Support Engineer,"Tysons Corner, VA",Former Employee ,The rats on the Titanic had a more hopeful outlook,I worked at MicroStrategy full-time for more than a year,"Your co-workers are mostly awesome and friendly. This is a lot of employees first job out of college, so definitely a more ""youthful"" feel in the department. You'll bond and become friends in the communal suffering. You can tell the immediate management cares to some degree, but they have absolutely no power to change anything. The offices & free food were nice.","Oooooh boy here we go. You'll be trained to support a product that is quickly becoming antiquated in the BI industry. You know what I love regarding installing an enterprise level business intelligence platform in the year 2020? Manually editing multiple text configuration and XML files. Or the UI on our Developer tool still stuck in the 90s. It's becoming increasingly complex to manage as a platform, and most companies are moving to newer and sleeker options. I hope you have a good hat rack with many hooks, because you'll acquire quite a collection. Previously, the department was separated by product specialty. Makes since, right? It's such a complex product, and takes a new engineer anywhere from 1-1.5 years to really become familiar with supporting it. Now, you'll be expected to support every aspect of the product. Jack of all trades, master of none. On top of that, they got rid of the Technical Account Managers, so you'll have the awesome option of taking on those responsibilities for no extra pay. Oh, expect to be asked to work late supporting some big important escalation. Yes, we have teams in Europe and Asia who could support their hours better. But that's okay. Also, we have 24x7 support on weekends, so expect a weekend or two a quarter of being on call the entire time. Yes, even at 4am. Also, I hope you enjoy being forced to not only be on call with all of our customers, but also share your webcam with them! Don't mind that people in IT support tend to be introverts or not want to be in the spotlight. Or the eventual sexual harassment incidents that will occur to any of the few remaining female employees. We used to have neat team events, those got axed long ago. Free food once a week usually was nice pre-COVID. Your compensation will be ""meh"" at best for a new college grad, and will only get worse. The engineers who choose to stay at MicroStrategy stay because of the people and the work culture. The people are mostly gone, and the culture has been burnt to the ground by executive management who swear they know best. The small quarterly bonus you do get (which is subject to company performance, so not too optimistic on that) is pitiful and doesn't scale with your salary, if you're lucky enough to see a raise. Also, they used to give yearly COL raises of like 2%, but that went out the door. Mike must need a new yacht (no, seriously).","1.0
★★★★★",MicroStrategy
Mon Jul 06 2020 17:50:38 GMT+0900 (Korean Standard Time), Technical Account Manager (TAM),"Tysons Corner, VA",Current Employee ,"Don’t walk away, RUN!",I have been working at MicroStrategy full-time for more than a year,Great co-workers and ability to form long lasting relationships.,"Everything you can think of. CEO is a lunatic. The Executive team is completely disconnected from what’s happening on the lower floors. They don’t understand the all parts of the business and what goes into it. There is a back stabbing culture. If you are vocal person with good ideas and a drive to improve and change things, you will likely be laid off. The execs view the employees as statistics. I’ve had 7 supervisors in 1.5 years. It is exhausting working there with people that don’t understand what you do and are gone the next day. You won’t be able to grow professionally and the compensation is below average.","1.0
★★★★★",MicroStrategy
Wed Jul 08 2020 16:23:36 GMT+0900 (Korean Standard Time), Consultant,"Tysons Corner, VA",Former Employee ,Do not was your hard earned degree or time.,I worked at MicroStrategy full-time for more than a year,"The other individuals that were promised a dollar and a dream, but was never followed through. The free coffee, pool table, and ping pong table, that you most likely wont touch, due to your work engagements.","*The product is god awful *The management is even worse, except some of the lower level managers, who are doomed as well. *Their ""dossiers"" or visualizations used for internal usage never work, which is what we were selling to clients. *They fabricate a lot of the truth, or twist to way to make the company sound like a legitimate BI tool. *tantly raises prices or changing their license format to rip more money from clients, and left wondering what happened, when they eventually leave.","1.0
★★★★★",MicroStrategy
Mon May 18 2020 20:53:30 GMT+0900 (Korean Standard Time), Software Engineer,,Current Employee ,,I have been working at MicroStrategy full-time for more than 5 years,Co-workers are usually quite nice. Good benefit in this area.,The management keeps changing ideas and releasing new policies.,"3.0
★★★★★",MicroStrategy
Sat Jun 20 2020 12:29:17 GMT+0900 (Korean Standard Time), Software Engineer,,Former Employee ,The worst company in the industry,I worked at MicroStrategy full-time,no vision; no management sense; lowest income in the industry and region,"no vision; no management sense; lowest income in the industry and region unless you have to find some urgent money to feed yourself, don't consider this company","1.0
★★★★★",MicroStrategy
Fri May 22 2020 09:00:48 GMT+0900 (Korean Standard Time), Support Engineer,"Tysons Corner, VA",Current Employee ,Support department is grueling and lacks work-life balance,I have been working at MicroStrategy full-time for more than a year,Great colleagues and Great learning center resources,"1. Terrible work-life balance
2. istent overtime with no possibility of compensation","2.0
★★★★★",MicroStrategy
Thu May 21 2020 17:38:18 GMT+0900 (Korean Standard Time), BDR,"Tysons Corner, VA",Former Employee ,"Good environment, horrible management",I worked at MicroStrategy full-time for less than a year,nice work area and lounge,Management thinks they own you. They treat you like your parents would when you messed up growing up.,"2.0
★★★★★",MicroStrategy
