date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Thu Jan 16 2020 07:58:00 GMT+0900 (Korean Standard Time), Human Resources Director,"Burlington, MA",Current Employee ,The 'new' Nuance is an exciting place!,I have been working at Nuance full-time for more than 3 years,"Nuance has been through an exciting transition over the last few years and has come out stronger and better than ever. The new Senior Leadership are focused on executing against goals, winning in the market, and investing back into employees and culture. Nuance is unique because it is an industry leading company competing with the big names in the tech space, but still has some of the start up mentality where people can get involved in lots of projects and really create their own path. Hard to find a mix like that these days... Competitive compensation, super smart and talented employees, an exciting direction and strategy, and ability to get involved in anything you're interested in if you show initiative.","Some of the old-school learned behavior still lingering from the previous leadership team. It's getting better, but depending on what group or team you're in it can feel like things are changing more slowly. If you don't take initiative or network internally you might end up feeling a bit stuck. There are endless opportunities at Nuance, but with so many talented people you can't expect them to just fall in your lap without some initiative on your end.","5.0
★★★★★",Nuance
Tue Jul 07 2020 18:42:53 GMT+0900 (Korean Standard Time), Medical Documentation Specialist,"Columbia, SC",Current Employee ,Decent work from home job,I have been working at Nuance part-time for more than a year,Flexible hours and working from home,Pay rate could be better,"4.0
★★★★★",Nuance
Fri Jun 19 2020 14:22:31 GMT+0900 (Korean Standard Time), Information Specialist,,Former Employee ,Decent work,I worked at Nuance full-time,Good consistant work for and comparable pay,Sells off parts of the company too often,"3.0
★★★★★",Nuance
Fri Jul 10 2020 05:46:41 GMT+0900 (Korean Standard Time), Medical Transcriptionist/Editor,,Former Employee ,I was very unhappy with this job from management to work availability.,I worked at Nuance full-time for more than a year,Working from home is a plus.,I had poor availability of work.,"1.0
★★★★★",Nuance
Thu May 28 2020 17:49:55 GMT+0900 (Korean Standard Time), Medical Scribe,"Sumter, SC",Former Employee ,Great company when I worked for them,I worked at Nuance full-time for less than a year,Virtual position Flexible hours Interesting job Great co-workers Pretty good pay and good benefits,The pay was on the lower side,"4.0
★★★★★",Nuance
Tue Jun 23 2020 18:26:27 GMT+0900 (Korean Standard Time), MLS,"Syracuse, NY",Former Employee ,Not an employee oriented company,I worked at Nuance full-time for more than 8 years,Ability to work from home,Unstable work environment with job insecurity,"1.0
★★★★★",Nuance
Mon Jun 01 2020 08:44:38 GMT+0900 (Korean Standard Time), Regional Sales Manager,"Atlanta, GA",Former Employee ,"Good company, bad communications",I worked at Nuance full-time for more than 5 years,Good benefits and programs to help employess,Bad communications and management is more concerned with micro managing,"3.0
★★★★★",Nuance
Wed Jun 17 2020 13:55:03 GMT+0900 (Korean Standard Time), Quality Documentation Specialist,,Current Employee ,4 years with the company and I could make more money as a cashier at Target,I have been working at Nuance full-time for more than 3 years,I used to love this job for its flexibility but now there is none,"Pay is terrible, PTO is minimal. 
They respect their FT headquarters employees more than their remote workforce. 
There is 0 respect for the remote employees that have been with the company for several years.","1.0
★★★★★",Nuance
Sun Jun 14 2020 10:31:20 GMT+0900 (Korean Standard Time), Medical Transcriptionist/Editor,"Dayton, OH",Former Employee ,Awful place to work,I worked at Nuance full-time for more than 10 years,"There are no pros, they bought a company I was working for and it was all down hill from there with salary, management, everything",The salary is like salaries in India. You can't make any money unless you are glued to your computer and they are always finding something wrong to bring the percentage and salary down.,"1.0
★★★★★",Nuance
Fri May 22 2020 15:52:15 GMT+0900 (Korean Standard Time), Deployment Engineer,,Current Employee ,No career path upwards,I have been working at Nuance full-time,Able to gain experience and take on more responsibilities`,No career path upward made staying there not a good idea,"2.0
★★★★★",Nuance
