date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Wed Jul 15 2020 21:22:20 GMT+0900 (Korean Standard Time), Sales Associate,"Miami Beach, NJ",Former Employee ,Awesome,I worked at Payless ShoeSource part-time for less than a year,"Good pay, friendly staff, good benefits","Sales up and down, store untidy quick","5.0
★★★★★",Payless-ShoeSource
Wed Jul 22 2020 07:33:39 GMT+0900 (Korean Standard Time), Assistant Manager,"Myrtle Beach, SC",Former Employee ,Great opportunity,I worked at Payless ShoeSource full-time for less than a year,Gave me an opportunity to grow into a managers position at my own pace,Not compensated even for the job i was performing,"4.0
★★★★★",Payless-ShoeSource
Wed Jul 15 2020 08:56:49 GMT+0900 (Korean Standard Time), Sales Associate,"Ann Arbor, MI",Former Employee ,LOVED IT,I worked at Payless ShoeSource part-time for less than a year,Best place to work at. Friendly managers. Easy work. Meet new people .,May get stuck with lazy coworkers.,"5.0
★★★★★",Payless-ShoeSource
Fri Jul 03 2020 13:15:27 GMT+0900 (Korean Standard Time), Sales Associate,,Current Employee ,Great Company,I have been working at Payless ShoeSource part-time for more than a year,"I loved working for payless, amazing boss and co-worker",None I can think of .,"5.0
★★★★★",Payless-ShoeSource
Thu Jul 16 2020 17:29:38 GMT+0900 (Korean Standard Time), Management,"San Jose, CA",Former Employee ,Not a Valid Review,I worked at Payless ShoeSource full-time for more than 8 years,Pleasant atmosphere to work in and future development.,Nothing negative to add on here,"3.0
★★★★★",Payless-ShoeSource
Wed Jul 15 2020 10:43:12 GMT+0900 (Korean Standard Time), Store Manager,"Portland, OR",Former Employee ,No surprise they went under,I worked at Payless ShoeSource full-time for more than 3 years,"Discounts on shoes, nice co-workers","Long hours, low pay, denied vacation requests, lots of theft","3.0
★★★★★",Payless-ShoeSource
Thu Jun 25 2020 17:58:51 GMT+0900 (Korean Standard Time), Part Time Sales Associate,"Jacksonville, FL",Former Employee ,My review,I worked at Payless ShoeSource part-time,"Great team, discount was good",Company policies did not have employee in mind,"4.0
★★★★★",Payless-ShoeSource
Fri Jun 19 2020 07:06:04 GMT+0900 (Korean Standard Time), Regional Manager,,Current Employee ,It was a great company with great customers !!!,I have been working at Payless ShoeSource full-time for more than 10 years,Customer focused culture without micromanaging to allow leaders and all team members to what’s right for the customer and business.,Bought out by a private equity firm that had no idea how to run a footwear specialty retail business and the equity company sucked up Payless cash and ran up the debt to bankrupt the organization. This should be against the law.,"4.0
★★★★★",Payless-ShoeSource
Wed Jun 10 2020 16:14:57 GMT+0900 (Korean Standard Time), Key Holder,"Eatontown, NJ",Former Employee ,Okay,I worked at Payless ShoeSource full-time for more than a year,Coworkers were nice and work was easy,The store was super understaffed,"3.0
★★★★★",Payless-ShoeSource
Tue Jun 02 2020 23:52:37 GMT+0900 (Korean Standard Time), Assistant Manager,,Former Employee ,It was ok,I worked at Payless ShoeSource full-time for more than a year,"Good hours, pay and opportunities to grow in the company.","They over worked people , ..................","3.0
★★★★★",Payless-ShoeSource
Tue May 19 2020 07:13:43 GMT+0900 (Korean Standard Time), Sales Associate,,Former Employee ,Payless,I worked at Payless ShoeSource part-time for more than 10 years,Great place to work. All stores in US and Canada closed. Worked there for 12 years.,"The last owner of the company bought it to liquidate it to make a fast buck. Things could have been done to save the chain. Alot of money was wasted, only to declare bankruptcy.","5.0
★★★★★",Payless-ShoeSource
Sat May 16 2020 00:12:14 GMT+0900 (Korean Standard Time), Sales Associate,,Former Employee ,Management uneven,I worked at Payless ShoeSource part-time for more than 8 years,"Great schedule, dress professionally, make more than minimum wage","High management turnover, stressful holiday season","4.0
★★★★★",Payless-ShoeSource
Thu May 14 2020 15:51:44 GMT+0900 (Korean Standard Time), Retail Sales Associate,"Deland, FL",Former Employee ,Great job !,I worked at Payless ShoeSource part-time for more than a year,-Formed bonds with customers -Management -Laid Back Environment,-Not enough hours given -No room for improvement,"5.0
★★★★★",Payless-ShoeSource
Wed May 13 2020 12:56:38 GMT+0900 (Korean Standard Time), Multi Store Leader,,Former Employee ,Experienced different things everyday overall was a great environment too work in,I worked at Payless ShoeSource full-time for more than 5 years,Great raises and learning strategy,Customer disagreement on some things,"5.0
★★★★★",Payless-ShoeSource
