date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Fri Jun 05 2020 08:10:11 GMT+0900 (Korean Standard Time), Lead Consultant,"Saint Louis, MO",Former Employee ,Awesome Company,I worked at Perficient full-time for more than a year,"Tons of flexibility, good pay, decent benefits",Cant think of one honestly,"5.0
★★★★★",Perficient
Fri Jul 17 2020 05:40:25 GMT+0900 (Korean Standard Time), Technical Consultant,"Detroit, MI",Current Employee ,A good Company but boring client projects,I have been working at Perficient full-time for more than a year,The company is good and filled with indians atleast the IT sector,Late on hikes and bonuses. Don't pay you what you are worth for,"3.0
★★★★★",Perficient
Thu Jul 09 2020 09:08:41 GMT+0900 (Korean Standard Time), Business Consultant,"Cincinnati, OH",Former Employee ,Better for experienced folk,I worked at Perficient full-time for more than a year,"Nice people, decent pay and benefits",Not a lot of opportunities for career development from within.,"3.0
★★★★★",Perficient
Mon Jun 22 2020 13:06:38 GMT+0900 (Korean Standard Time), Network and Security Engineer,,Current Employee ,Good Company,I have been working at Perficient full-time for more than a year,"Good work environment, Great people",work-life balance can be challenging,"4.0
★★★★★",Perficient
Mon Jun 29 2020 10:57:30 GMT+0900 (Korean Standard Time),,,Former Employee ,Acquire Then Lay Off Strategy At Perficient,I worked at Perficient full-time for more than a year,"Pay was in line with industry standards, benefits were fine.","My company was acquired by Perficient. They waited a month or two before beginning their first round of layoffs. We had to start using older web tools because that's what the whole company was using. Perficient removed our IT people, so things never really worked right again. They then used the cornavirus as an excuse for more layoffs. The company has layer upon layer of corporate managers who contribute nothing except cringe-worthy Powerpoint presentations once a month or so. Very short-sighted company overall (PRFT).","2.0
★★★★★",Perficient
Thu Jun 04 2020 00:12:09 GMT+0900 (Korean Standard Time), Software Engineer,"Washington, DC",Current Employee ,"Excellent employees, great working environment.",I have been working at Perficient full-time for more than 5 years,Great place for freshers to start their career.,Not much career growth after a certain time.,"5.0
★★★★★",Perficient
Sun Jun 21 2020 14:15:51 GMT+0900 (Korean Standard Time), Data Developer,"San Francisco, CA",Current Employee ,Good place to learn,I have been working at Perficient full-time,"Supporting team members, gain solid industry experience",High possibility of getting over cooked with work,"3.0
★★★★★",Perficient
Fri May 29 2020 18:25:40 GMT+0900 (Korean Standard Time), Client Services,"Saint Louis, MO",Current Employee ,"Focused, solid organization to work for",I have been working at Perficient full-time for more than a year,Well oiled machine. Solid process in place. Clear strategy to win. And it seems to be working. People are generally kind and supportive.,"The culture can feel cold and mechanical at times. This is not necessarily the place for creative people—and that is totally okay! It’s great for process-driven types. Sure, there is room for creativity, but the company’s culture is not creatively driven. Communication from leadership feels like a form letter.","4.0
★★★★★",Perficient
Fri Jun 19 2020 11:43:32 GMT+0900 (Korean Standard Time), Lead Technical Consultant,"Lafayette, LA",Current Employee ,Every office and client is different,I have been working at Perficient full-time for more than 5 years,"Flexible time, relaxed dress code, decent pay, some good co-workers","You have to buy your own monitors and keyboard. The office is downtown and you have to pay for your own parking. They are all about the billable hours (that's how they make their money) You are expected to do your client work plus ""more"" (lead office events, host brown bag sessions, create office content, ...)","3.0
★★★★★",Perficient
Tue Jun 09 2020 20:47:57 GMT+0900 (Korean Standard Time), Software Development Engineer,"Atlanta, GA",Former Employee ,Typical acquisition,I worked at Perficient full-time for more than 3 years,The company is large and has access to a lot of big name clients. This means you'll be able to gain a lot of valuable experience in a short amount of time.,We started as a small start up that was acquired by Perficient. The culture slowly changed as corporate wanted things to be more uniform. All the while these changes were making the people that helped make the start up worth acquiring unhappy. Most have left due to this.,"2.0
★★★★★",Perficient
