date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Mon Jul 20 2020 17:31:35 GMT+0900 (Korean Standard Time), Software Developer,"Houston, TX",Current Employee ,great company,I have been working at Reynolds and Reynolds full-time for more than a year,"great working environment, good culture, good management",starting salary is low but it picks up with time,"5.0
★★★★★",Reynolds-and-Reynolds
Wed Jul 22 2020 16:27:04 GMT+0900 (Korean Standard Time), Administrative Assistant,"College Station, TX",Current Employee ,Good place to gain experience,I have been working at Reynolds and Reynolds full-time for less than a year,"Good benefits, pays overtime, stable, fun extracurricular activities, gym inside the building, good food in the cafeteria.",Expected to work overtime often,"4.0
★★★★★",Reynolds-and-Reynolds
Wed Jul 15 2020 07:36:54 GMT+0900 (Korean Standard Time), NPD,,Current Employee ,Great Community,I have been working at Reynolds and Reynolds full-time,Great work life balance and sports leagues,Tough interview process low pay scale,"4.0
★★★★★",Reynolds-and-Reynolds
Mon Jun 29 2020 07:34:06 GMT+0900 (Korean Standard Time), Manufacturing Assistant,"College Station, TX",Former Employee ,A good job while in high school or college,I worked at Reynolds and Reynolds part-time for less than a year,"Ok pay, super flexible, management cares about you.","Same work every day, can get boring.","4.0
★★★★★",Reynolds-and-Reynolds
Wed Jul 15 2020 08:04:24 GMT+0900 (Korean Standard Time), Document Solutions Consultant,,Former Employee ,Great Co-Workers.... Bad Company,I worked at Reynolds and Reynolds full-time for more than a year,"There are only a select few pro's that I can give Reynolds and Reynolds. The first being the time that they devote to training. They spent countless hours on making sure you are prepared for the field. However, some of the training is irrelevant and seemed as though it was a bit dated. I can also say that the support team in Celina was incredible and they made the job a lot easier then it could be. That being said I feel as though they are undervalued by the company.","The list could go on and on but lets start with the “CEO”. If training would tell you anything, it would tell you that he is not liked in the industry. Its a bit sad that training managers need to teach you how to overcome that big obstacle, and they don't understand the half of it. Plus he doesn't seem to care much about anyone but himself and the systems team, which might I add is falling apart for Reynolds. Due to the lack of trust in the systems team, Reynolds customers are leaving the documents team as well. We spent countless hours building relationships just to have them broken due to the so called ""account manager."" I had a customer tell me ""I'm sorry, but we just don't trust the company anymore due to the shady games the systems rep and his boss are playing."" I won't keep going, but the last thing I will leave on the table is the fact that Reynolds overcharges for a lot of their products. Price was always a factor when it came to documents, and it is certainly a factor when it comes to systems. Reynolds is not the only player in the game anymore and the industry is waking up to that fact. It's time for some change.","2.0
★★★★★",Reynolds-and-Reynolds
Tue Jul 14 2020 08:07:44 GMT+0900 (Korean Standard Time), Data Center Operator,"Dayton, OH",Current Employee ,Great place to get your feet wet in IT.,I have been working at Reynolds and Reynolds full-time for more than a year,Pretty easy to get your foot in the door if you have a referral from a current employee. Great Benefits package. Good & Cheap insurance and Generous 401k matching.,Very high turnover in DC Operations. In 2 years the entire department was promoted or left and replaced by new people.,"3.0
★★★★★",Reynolds-and-Reynolds
Wed Jul 08 2020 18:32:01 GMT+0900 (Korean Standard Time), IT Help Desk,,Current Employee ,Fair enough,I have been working at Reynolds and Reynolds part-time,"Atmosphere , benefits, work life balance","None that come to mind, over all a good environment","3.0
★★★★★",Reynolds-and-Reynolds
Mon Jun 29 2020 09:08:13 GMT+0900 (Korean Standard Time), Software,"Dayton, OH",Former Employee ,Buyer beware,I worked at Reynolds and Reynolds full-time for more than 5 years,"Nice cafeteria, credit union access. Clinic onsite",Big brother mentality. Hard to advance. Pay was inadequate. Benefits were horrible. The testing for getting in is very difficult.,"2.0
★★★★★",Reynolds-and-Reynolds
Fri Jun 05 2020 08:49:37 GMT+0900 (Korean Standard Time), IT Technician,"Houston, TX",Former Employee ,Great entry level job,I worked at Reynolds and Reynolds part-time,Great place to work. Good benefits.,Very traditional workplace. Have to dress business professional all the time.,"5.0
★★★★★",Reynolds-and-Reynolds
Fri Jun 19 2020 11:48:42 GMT+0900 (Korean Standard Time), Entry Level S/W,,Current Employee ,Assessment,I have been working at Reynolds and Reynolds full-time,Jus gave aptitude test waiting what will be the result,Nothing as of now was fun to attend the assessment,"3.0
★★★★★",Reynolds-and-Reynolds
