date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Wed Jul 22 2020 11:45:22 GMT+0900 (Korean Standard Time), Senior Solutions Architect,"Southlake, TX",Current Employee ,Great place to work,I have been working at Sabre full-time for more than 10 years,Good benefits Good company culture My specific team is flexible and a great group Current management cares for employees,No real downsides I work with a great group and I fee they have done a great job in doing what they can to look out for employees during the covid issue.,"5.0
★★★★★",Sabre
Wed Jul 22 2020 05:41:34 GMT+0900 (Korean Standard Time), Principal Program Manager,"Dallas, TX",Former Employee ,Good Experience,I worked at Sabre full-time for more than 8 years,I like the Flexibility as a pro,Long Hours at time which might interfere with quality of life,"4.0
★★★★★",Sabre
Sun Jul 19 2020 19:09:56 GMT+0900 (Korean Standard Time), Associate Software Developer,"Southlake, TX",Former Employee ,Strong executive team,I worked at Sabre full-time for more than 3 years,There is a major focus on improving culture,Middle management is inconsistent with corporate mission.,"4.0
★★★★★",Sabre
Sat Jul 18 2020 17:45:31 GMT+0900 (Korean Standard Time), Contributor Software Developer,,Current Employee ,Contributor Software Dev,I have been working at Sabre full-time,"easy work environment, experience, encouraging teams",stability is missing. Lay offs happen a lot,"4.0
★★★★★",Sabre
Tue Jul 14 2020 14:35:32 GMT+0900 (Korean Standard Time), Product Manager,"Southlake, TX",Former Employee ,great company,I worked at Sabre full-time for more than 3 years,"good smart knowledgeable people - great learning opportunities,",can be odd working hours due to the global customer base,"4.0
★★★★★",Sabre
Thu Jul 02 2020 20:10:05 GMT+0900 (Korean Standard Time), Marketing Product Manager,,Former Employee ,Great People at Sabre,I worked at Sabre full-time,Always Interesting and never dull,Always more work than can accomplish well,"5.0
★★★★★",Sabre
Sat Jun 27 2020 16:45:59 GMT+0900 (Korean Standard Time), Senior Account Director,,Former Employee ,Working at Sabre,I worked at Sabre full-time for more than 10 years,There are many great people that work at Sabre.,Current leadership team does not embrace having a remote management team.,"4.0
★★★★★",Sabre
Thu Jul 09 2020 20:24:43 GMT+0900 (Korean Standard Time), Senior Business Analyst,"Fort Worth, TX",Former Employee ,Company in a industry in a downward spiral for awhile,I worked at Sabre full-time for more than 10 years,Some of the Old timers who knew the in and outs of the software and Industry took early outs and that PRO is now edging toward a big negative. A few good Managers and leaders left but who knows for how long they will hang around. Customers once depended on calling Sabre and eventually finding somebody that knew how to manage to deal with a new wrinkle in the biz flow. These items were once PRO's and Plus's for Sabre and Customers but will be a rough ride for all over the next few years.,"Due to Layoff culture right now, your remaining on board requires being buddies with someone in the Mgmt chain that is making the Stay or Go decisions.","2.0
★★★★★",Sabre
Wed Jun 24 2020 22:46:24 GMT+0900 (Korean Standard Time), Senior Network Engineer,"Southlake, TX",Former Employee ,Under Appreciated by the ones who always want more,I worked at Sabre full-time for more than 10 years,Great people to learn from,Upper management doesn’t see the value you in most of its employees,"4.0
★★★★★",Sabre
Thu Jun 25 2020 09:45:29 GMT+0900 (Korean Standard Time), Senior Principal Engineer,"Southlake, TX",Former Employee ,Great place to work,I worked at Sabre full-time for more than 10 years,"Great coworkers, very friendly and eager to help",Can tend to work in silos,"5.0
★★★★★",Sabre
Tue Jul 07 2020 18:45:16 GMT+0900 (Korean Standard Time), Senior Associate,"Southlake, TX",Former Employee ,Senior Associate,I worked at Sabre full-time for more than 3 years,Hard to find good things to say,Leadership didn't take in to consideration others point of view,"2.0
★★★★★",Sabre
Tue Jun 23 2020 10:59:49 GMT+0900 (Korean Standard Time), Senior Digital Product Manager,"Southlake, TX",Current Employee ,Great Place to Work in the DFW Metroplex,I have been working at Sabre full-time for more than 5 years,Great colleagues and opportunity to tackle some of the biggest tech challenges in the travel and hospitality industry,Opportunity to optimize and improve on agile development practices,"4.0
★★★★★",Sabre
Mon Jul 06 2020 14:00:13 GMT+0900 (Korean Standard Time), Software Quality Assurance Engineer,"Southlake, TX",Former Employee ,None,I worked at Sabre full-time for more than 5 years,"good atmosphere, management an great some of the people",Business and Management can be better,"3.0
★★★★★",Sabre
Wed Jul 01 2020 10:48:21 GMT+0900 (Korean Standard Time), Call Center Manager,"Dallas, TX",Former Employee ,Tech Company,I worked at Sabre full-time,Great Tech company for customers,Not a call center communication company,"3.0
★★★★★",Sabre
Wed Jul 01 2020 06:12:28 GMT+0900 (Korean Standard Time), Scrum Master,"Dallas, TX",Current Employee ,"Excellent benefits, unstable company",I have been working at Sabre full-time for more than 5 years,"People are great, technology is being updated to current, encourage learning",You never know if you will have a job at the end of the day,"3.0
★★★★★",Sabre
Fri Jun 26 2020 09:32:32 GMT+0900 (Korean Standard Time)," Director, Business Operations","Dallas, TX",Former Employee ,"Smart People, Dynamic Industry",I worked at Sabre full-time for more than 10 years,"Interesting and ever-changing vertical, deep domain knowledge and expertise, work-hard/play-hard culture, lots of challenging projects to grow and learn","Culture not consistent, limited growth opportunities at a certain level, making progress but could do better with diversity and inclusion","3.0
★★★★★",Sabre
Tue Jun 09 2020 19:14:56 GMT+0900 (Korean Standard Time), Product Manager,,Former Employee ,Sabre is a great place to work!,I worked at Sabre full-time for more than 10 years,A company with a long history of innovation and leading technology in the travel industry,No major cons to mention,"5.0
★★★★★",Sabre
Sun Jun 21 2020 15:25:41 GMT+0900 (Korean Standard Time), Manager,,Former Employee ,Was good to me....,I worked at Sabre full-time,Good money and benefits and vaction,Very poor management at department levels - couldn't trust,"3.0
★★★★★",Sabre
Wed Jun 24 2020 09:57:28 GMT+0900 (Korean Standard Time), Principal Program Manager,"Southlake, TX",Current Employee ,Highly Impacted by COVID-19,I have been working at Sabre full-time for more than 5 years,Great place to work before COVID-19.,Layoffs due to COVID-19 and slow recovery.,"2.0
★★★★★",Sabre
Tue Jun 23 2020 09:55:27 GMT+0900 (Korean Standard Time), Principal Software Architect,"Southlake, TX",Former Employee ,Good exposure to to Corporate Tech. Culture,I worked at Sabre full-time for more than 3 years,Offers a good opportunity to work in a larger Tech. Company,Because Development and Business pillars are separate there is a lack of cohesion and lack of common communication at times.,"3.0
★★★★★",Sabre
Tue Jun 02 2020 10:47:38 GMT+0900 (Korean Standard Time), Senior Finance Manager,"Dallas, TX",Current Employee ,Experience,I have been working at Sabre full-time for more than 5 years,"Lots of opportunities to move around
Good learning experience","Leadership improve on communications, they should communicate more often","4.0
★★★★★",Sabre
Sun May 31 2020 13:03:40 GMT+0900 (Korean Standard Time), IT Manager,"Southlake, TX",Current Employee ,Good CEO leadership,I have been working at Sabre full-time for more than 8 years,Good CEO leadership during crisi,travel industry constraints due to COVID,"4.0
★★★★★",Sabre
Fri Jun 12 2020 13:30:29 GMT+0900 (Korean Standard Time), Senior Field Service Technician,"Southlake, TX",Former Employee ,Software company enabling and evolving the travel industry,I worked at Sabre full-time for more than 3 years,My co-workers were the bast part of Sabre.,Layoff are used as a budgeting tool - top performers are let go regularly.,"3.0
★★★★★",Sabre
Fri Jun 12 2020 12:31:17 GMT+0900 (Korean Standard Time), Senior Software,,Current Employee ,Too much Layoffs and no proper planning,I have been working at Sabre full-time,work life balance is good,Too much layoff and upper management lacks the vision and process,"2.0
★★★★★",Sabre
Wed May 27 2020 06:13:48 GMT+0900 (Korean Standard Time), Manager,,Current Employee ,"Looking for Program, Project, Product, Portfolio Management Opportunity",I have been working at Sabre full-time,"AWS, Creating Opportunity, Legacy, Culture, People",There is nothing I can think at this moment,"4.0
★★★★★",Sabre
Sun Jun 28 2020 22:03:25 GMT+0900 (Korean Standard Time), SE (Software Engineer),"Dallas, TX",Former Employee ,Horrible culture,I worked at Sabre full-time for more than a year,None that I can even think of,Having to work there was a huge con,"1.0
★★★★★",Sabre
Wed May 13 2020 19:07:32 GMT+0900 (Korean Standard Time), User Experience Designer,,Current Employee ,Review,I have been working at Sabre full-time,"Honest, transparent leadership and communication.",I don't have a comment.,"4.0
★★★★★",Sabre
Sat May 23 2020 13:33:24 GMT+0900 (Korean Standard Time),,"Dallas, TX",Current Employee ,Bad decisions,I have been working at Sabre full-time,Hired unqualified senior engineers who kept their product years behind schedule to the point clients want to cut contract. Then overwork college grads to cover up their issues. These young people are the first to be fired in the pandemic. Lazy seniors get severance benefits. Some can't even explain their job.,"During this pandemic and you still try to pay out a whooping $38 million dividend while borrowing at a 9.25% interest rate. All their airline clients get 1/2 or 1/5 of your interest rate while the FED rate sky dives to 0%. They sneakily covered it up with a dividend cut. It is voted on March 16th, before the ex-date (March 19th), but applies only after it during the crisis. (March 30th) People know the pandemic happens since early March. Good luck with the 1/3 headcount cut. Employees get the boot. Good luck shareholders, the company won","2.0
★★★★★",Sabre
