date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Fri Mar 20 2020 13:54:54 GMT+0900 (Korean Standard Time), Associate Consultant,"Schaumburg, IL",Current Employee ,Recruiting/On-boarding Experience,I have been working at Sogeti full-time for less than a year,My recruiter was so helpful and encouraging throughout the whole recruiting and on-boarding process. She kept me up to date during the whole process and would always answer all of my questions within a few minutes of me reaching out to her. She also prepared me well for the interviews by providing me with supplemental information and giving me general tips. She guided me through the whole on-boarding process step by step so it was easy for me to understand and get through. The on-boarding has been smooth sailing as well. HR made and exception and took her time to come to the office even though WFH was in place because of the Corona Virus. She helped me get settled in and provided all the essential information I needed from Sogeti to get started with the company. The HR Manager has also been readily available and answered many questions I had during my first week. My co-workers and manager have made this on-boarding process so amazing for me even tough things have been really difficult with the WFH order in place. Especially it being my first week. They have been so patient with me and guiding me through everything that I need to know at a steady pace and always there to answer any of my questions. I couldn't have asked for a better set of co-workers! Everyone is so understanding and I truly feel welcomes here. I am glad that I ended up at Sogeti!,Absolutely no cons whatsoever.,"5.0
★★★★★",Sogeti
Tue Jul 07 2020 13:33:36 GMT+0900 (Korean Standard Time), Senior Consultant,"Cincinnati, OH",Former Employee ,Senior Consultant on database team at GE,I worked at Sogeti full-time for more than a year,"Flexible, work from home, decent benefits","You'll never get a raise, they make it super hard. Bonuses have a huge * next to them. 401k plan is good, but you have to stay for 3 years. Poor vacation days.","4.0
★★★★★",Sogeti
Tue Jul 07 2020 17:54:54 GMT+0900 (Korean Standard Time),,"Houston, TX",Former Employee ,Senior,I worked at Sogeti full-time for more than 3 years,Opportunities to work on diverse projects,You are sometimes treated like a number,"3.0
★★★★★",Sogeti
Mon Jun 29 2020 14:38:33 GMT+0900 (Korean Standard Time), Associate Consultant,"Atlanta, GA",Former Employee ,Good place to start,I worked at Sogeti full-time,Great way to make connections. Tuition reimbursement program.,Not much room for growth.,"3.0
★★★★★",Sogeti
Wed Jun 10 2020 15:01:58 GMT+0900 (Korean Standard Time), Consultant,"Indianapolis, IN",Former Employee ,Great experience for someone fresh out of college,I worked at Sogeti full-time for more than a year,1. You can pave your own path 2. The counselor / mentorship program -- everyone is paired with someone. 3. Compensation for certifications 4. Lot of variety in project work,"As long as you're a self starter, you will succeed other wise you might struggle deciding what to learn and how to make yourself valuable to the company.","4.0
★★★★★",Sogeti
Mon Jun 22 2020 23:38:03 GMT+0900 (Korean Standard Time), Senior Consultant,"Cincinnati, OH",Current Employee ,Know your worth before working here,I have been working at Sogeti full-time for more than a year,Fast paced and learned a lot,"No leadership accountability, cliquey, a lot of smoke and mirrors","2.0
★★★★★",Sogeti
Thu May 28 2020 13:20:20 GMT+0900 (Korean Standard Time), Senior Manager,"Houston, TX",Current Employee ,Great consulting company with less travel.,I have been working at Sogeti full-time for less than a year,Good salary. Great culture. Good knowledge repository. Capegemini resources used well in collaboration.,Lack of projects. Difficult to get staffed.,"5.0
★★★★★",Sogeti
Tue May 19 2020 09:13:52 GMT+0900 (Korean Standard Time), Senior Consultant,"Raritan, NJ",Former Employee ,Job Security,I worked at Sogeti full-time for more than a year,Great teams to work with,"Job security isn't the greatest, everyone seems to be scrambling when projects come to an end and there was concern of job security when on the bench","4.0
★★★★★",Sogeti
Sat May 09 2020 09:26:17 GMT+0900 (Korean Standard Time), Consultant,"Indianapolis, IN",Current Employee ,Good place to work if you're looking to do consultanting,I have been working at Sogeti full-time for less than a year,Staff is enjoyable. Provides incentives for self learning. Lots of opportunities to work with modern tech. Good 401k.,Frequent shuffling of employees between projects.,"4.0
★★★★★",Sogeti
Thu May 14 2020 09:50:17 GMT+0900 (Korean Standard Time), Consultant,"Austin, TX",Former Employee ,Great company for experienced professionals - Terrible for new grads,I worked at Sogeti full-time for more than a year,"- Decent Benefits - Great place to get your feet wet (depends on location) - Attentive higher-ups who listen and respect your decisions - College tuition is paid for as well as certifications (once you pass said certifications) - If you are a go-getter and want to better yourself, there is a Counselor program which enables you to find the right field you want to move towards. - The culture you experience with your fellow colleagues is awesome and have made friends along the way.","- Higher-ups only care on getting you in whatever deals they can find. - You will be moved from one job title to another (i.e. QA Tester to IT Support) - Your 401K is vested after 3 years and let me say, the turn-over rate in Sogeti is at least 1-2 years so nobody cares on the 401k at least for the younger generation. - Higher-ups say they care on your opinion (i.e. wanting to move from being a QA Tester to a Software Engineer) but of what I have realized with Sogeti is money talks more. - If you are hired with Sogeti, expect empty promises. If you want to specialize in one field and have proven to them with certifications and projects, they will place you wherever the market is. (Testing, testing, and more testing.) - If your client's employees' are off the days Sogeti is not off. You MUST use your PTO. - The PTO you earn is 2.31 hours per week which is a meager amount. - Earning a promotion takes months to process. As for bonuses, this takes 3 months and the end of each year to process. - As for promotions, expect a 5% raise from what you are currently earning. Job titles means nothing in Sogeti. - As for new grads that come into the market, it is difficult to find us a position when you are on the bench (known as ATO); however, it is the responsibility of your higher-ups to find a position for you. It just saddens me on how this all worked out. IMPORTANT: I HIGHLY recommend NOBODY to apply to Sogeti Austin as a new grad. The open contracts they have made have been lessened and broken down. People have been laid off since December who were experienced, and the deals they are trying to make has never come to fruition. If you are expecting to work on the latest tech, your best bet is to apply somewhere else. You will more than likely be put in meager positions as a Tester which is no fun. (No coding is even involved which really irks my time with Sogeti.)","3.0
★★★★★",Sogeti
Thu May 14 2020 15:12:57 GMT+0900 (Korean Standard Time), Consultant,"Des Moines, IA",Current Employee ,Good starting,I have been working at Sogeti full-time for more than a year,"The benefits, along with starting salary into the career is nice and competitive.",Bonuses are based on if you have a client or not. Annual raises are almost non existent even if you get a promotion from associate to normal consultant. There are some bad clients out there.,"3.0
★★★★★",Sogeti
Tue Apr 28 2020 08:04:22 GMT+0900 (Korean Standard Time), Senior Consultant,"Atlanta, GA",Current Employee ,Great Place to Work!,I have been working at Sogeti full-time for more than 3 years,Client opportunities. Career and education growth. Benefits. Work-life balance.,"Can't think of any, honestly.","4.0
★★★★★",Sogeti
Tue May 12 2020 08:40:20 GMT+0900 (Korean Standard Time), Senior Consultant,"Cincinnati, OH",Former Employee ,Good start,I worked at Sogeti full-time for less than a year,"Good Project, good place to start your career",Lay off came so quick,"2.0
★★★★★",Sogeti
Wed May 27 2020 16:56:09 GMT+0900 (Korean Standard Time), Consultant,"Atlanta, GA",Former Employee ,Bad Talent Management,I worked at Sogeti full-time for more than a year,"The project were interesting. Market value pay if you ask for it in the beginning because they will low ball, as most do; 150% 401k match if you last long enough to be vested (3 years.) A few of the older consultants you can really learn a lot from.","The projects were interesting but they were at clients with a grueling work environment. I'm talking verbal abuse, cursing in meetings, etc. And you really can't move up unless the client gives you a glowing review. They cuts here can be pretty abrupt.","1.0
★★★★★",Sogeti
Wed Apr 15 2020 08:47:37 GMT+0900 (Korean Standard Time), Account Executive,"Bridgewater, NJ",Former Employee ,Post M&A Cap,I worked at Sogeti full-time for more than a year,Colleagues and market position (under Cap),"Leadership reorg and weak sales, bench and ability to staff and deliver NYC","2.0
★★★★★",Sogeti
Sat Mar 14 2020 07:42:17 GMT+0900 (Korean Standard Time)," Senior Manager (Business Information & Business Analytics),","Austin, TX",Former Employee ,Sogetis Culture and Growth,I worked at Sogeti full-time for more than 5 years,"Latest skills training, Flexible work hours",Skills development during bench time.,"5.0
★★★★★",Sogeti
