date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Tue Jul 21 2020 08:55:35 GMT+0900 (Korean Standard Time), Marketing,,Current Employee ,Great Place to Work for All,I have been working at World Wide Technology full-time,"2020 has been difficult on so many levels. I could not be more impressed with how WWT leadership -- from exec team to individual managers -- has responded in handling adversity and disruption on multiple fronts. The consistency of messaging has made it crystal clear on where WWT remains focused and what we need to do moving forward to succeed — not only from a business perspective, but also a social responsibility standpoint. Culture and values are something many companies talk about, but rarely execute on -- in my experience. I quickly realized this was not the case at WWT. And if there was any doubt, it was completely wiped out given how WWT has reacted throughout 2020.",No cons to provide at this time.,"5.0
★★★★★",World-Wide-Technology
Sun Jul 19 2020 07:06:57 GMT+0900 (Korean Standard Time), Sales,"Saint Louis, MO",Current Employee ,Best Company To Work For,I have been working at World Wide Technology full-time for more than 8 years,"This company truly cares about their employees. They have great pay, benefits, culture and so much more. The CEO is the best leader in the business and has a very strong executive team behind him. While no business is perfect, WWT admits their mistakes and is transparent, authentic about always wanting to improve. Love this company!",I can't think of any.,"5.0
★★★★★",World-Wide-Technology
Tue Jul 14 2020 11:39:56 GMT+0900 (Korean Standard Time), Office Manager,,Current Employee ,GPTW,I have been working at World Wide Technology full-time,100% Great Place to Work!,"There are no ""cons"" to report","5.0
★★★★★",World-Wide-Technology
Tue Jul 07 2020 19:55:52 GMT+0900 (Korean Standard Time), ISR,"Saint Louis, MO",Current Employee ,Headline,I have been working at World Wide Technology full-time,"Love working there, best company",Chester Gloyd doesn't have high enough position,"5.0
★★★★★",World-Wide-Technology
Wed Jul 01 2020 21:45:38 GMT+0900 (Korean Standard Time), Solutions Architect,"Saint Louis, MO",Current Employee ,Sticking around for a long time,I have been working at World Wide Technology full-time for more than a year,"Awesome people, awesome work, unreal benefits.",It’s so good here I do not listen to recruiters when they tell me they have something better (highly unlikely anyway).,"5.0
★★★★★",World-Wide-Technology
Thu Jul 02 2020 16:00:35 GMT+0900 (Korean Standard Time), Project Manager,,Current Employee ,Great Place,I have been working at World Wide Technology full-time for less than a year,"good salary, excellent benefits, nice people, good communication",I haven't really had any bad experiences. They do what they say.,"5.0
★★★★★",World-Wide-Technology
Thu Jul 16 2020 10:59:28 GMT+0900 (Korean Standard Time), Solutions Engineer,"Paterson, NJ",Current Employee ,Great place to work for.,I have been working at World Wide Technology full-time for more than a year,Great work life/balance Excellent compensation Strong teamwork,Onboarding initially was a challenge,"4.0
★★★★★",World-Wide-Technology
Fri Jul 17 2020 07:59:15 GMT+0900 (Korean Standard Time),,"Edwardsville, IL",Current Employee ,L4 Review,I have been working at World Wide Technology full-time for more than a year,Secure Job Overtime Can be decent job,No Career Advancement Low Pay Favoritism COVID handling,"2.0
★★★★★",World-Wide-Technology
Thu Jun 25 2020 11:25:46 GMT+0900 (Korean Standard Time), ITC Technician,"Edwardsville, IL",Current Employee ,Greatness,I have been working at World Wide Technology full-time for more than a year,Great Company Great people place,1st&2nd shift not on same page,"5.0
★★★★★",World-Wide-Technology
Thu Jun 18 2020 11:50:50 GMT+0900 (Korean Standard Time),,"Saint Louis, MO",Current Employee ,Great company to work for. Some improvement is needed.,I have been working at World Wide Technology full-time for more than 3 years,"Pay is good. Benefits are excellent. Atmosphere is very friendly. Great training/learning opportunities. Freedom to perform your job. I personally know of a lot of bad managers, but I have been very fortunate to always have a great one above me. I would recommend my best friend, family member, and anyone else to apply here but like any large company its not without its issues.","Internal systems are lagging. Customer expectations are not always being met. Doesn't seem to be a ton of buy in from low level tech's resulting in low quality work. Lot of favoritism/nepotism within the lab engineering department. Lot of great managers, but unfortunately just as many bad ones.","5.0
★★★★★",World-Wide-Technology
Mon Jun 08 2020 12:22:19 GMT+0900 (Korean Standard Time), Manager,"Edwardsville, IL",Current Employee ,Challenging & Rewarding,I have been working at World Wide Technology full-time for more than 8 years,- Fantastic Benefits - Strong team-based initiatives - Focused on coaching and continual improvement - Promotes self-accountability and personal growth - Strong focus on being empathetic,"- Multiple layers of unnecessary approval required at times, which causes sometimes extreme delays in purchasing or employee onboarding (i.e., billable resources needing VP approval when Director has green-lighted, any purchases over $10k needing VP approval even if for mission-critical consumables) - Inconsistent accountability regarding FTE/subcontractor review process & conversion decisions","5.0
★★★★★",World-Wide-Technology
Tue Jun 09 2020 21:07:47 GMT+0900 (Korean Standard Time), Supply Chain Specialist,"Maryland Heights, MO",Current Employee ,Great place to work,I have been working at World Wide Technology full-time for less than a year,Great place to work for all.,There are none so far.,"5.0
★★★★★",World-Wide-Technology
Tue Jun 02 2020 09:05:39 GMT+0900 (Korean Standard Time), SME,,Current Employee ,Truly a Great Place to Work,I have been working at World Wide Technology part-time for more than 10 years,Business is ran on Core Values; Great co-workers; Executive focus on personnel,Growth is so fast it's tough to keep up!,"5.0
★★★★★",World-Wide-Technology
Thu May 28 2020 08:54:09 GMT+0900 (Korean Standard Time), Agile transformation consultant,"Saint Louis, MO",Current Employee ,Amazing Leadership,I have been working at World Wide Technology full-time for less than a year,Atmosphere and Culture Leadership is truly concerned about the health and welfare of their employees Employees are all trained on Leadership and Mindfulness Lots of work for employees to feel valuable and impactful Constant communication from senior leadership and C-Suite lots of tools and great ability to work remote comfortably Benefits are outstanding,typical internal bureaucracy issues with gaining access to new tools you need to help get your job done within IT.,"5.0
★★★★★",World-Wide-Technology
Mon May 25 2020 05:58:30 GMT+0900 (Korean Standard Time), Warehouse Supervisor,"Edwardsville, IL",Current Employee ,Core values are mandatory and reflect the executive team. They walk the walk.,I have been working at World Wide Technology full-time for more than 5 years,"WWT has an incredible executive team, led by Jim Kavenaugh. He has done an amazing job keeping the core values in tact as the company has grown at an incredible pace and globalized",The IT systems have not grown as quickly as the companies needs.,"5.0
★★★★★",World-Wide-Technology
Sat Jun 06 2020 14:42:17 GMT+0900 (Korean Standard Time), Lab Technician,"Edwardsville, IL",Current Employee ,I don't know what to think,I have been working at World Wide Technology full-time for more than a year,"Benefits are amazing, pay is great, the actual job I do is awesome.","Some leadership is corrupted and unfair, no asvancement opportunities, due to favoritism and some people who love the job talk down about the people who have concers by calling them whiny babies on review sites and telling them to find other jobs.","3.0
★★★★★",World-Wide-Technology
Tue Jun 02 2020 14:07:20 GMT+0900 (Korean Standard Time), Program Manager,"Seattle, WA",Former Employee ,Review,I worked at World Wide Technology full-time,Great benefits in 401K matching,Fast growth over 3-5 years has challenged existing process,"3.0
★★★★★",World-Wide-Technology
Tue May 19 2020 14:58:23 GMT+0900 (Korean Standard Time), Program Manager,"Chicago, IL",Current Employee ,Great company! Room for improvement,I have been working at World Wide Technology full-time for more than 5 years,"Great benefits, culture and support from executive teams! Tons of career opportunities that can be grown from within.","Lack of training, low compensation for in-house employees and too often reactive in hiring or putting the right people in the appropriate position/roles.","5.0
★★★★★",World-Wide-Technology
