date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Sat Jun 13 2020 16:33:23 GMT+0900 (Korean Standard Time), Account Executive,"Chicago, IL",Former Employee ,Great People,I worked at Yelp full-time for more than a year,The people you meet here will become Family. Or as our Team called it Ohana.,Its work. lol. You are calling businesses owner 2or3x per week who have gotten the same call from another rep the month before you.,"5.0
★★★★★",Yelp
Wed Jul 22 2020 15:02:07 GMT+0900 (Korean Standard Time), Account Executive,"Chicago, IL",Former Employee ,Great place to learn and grow.,I worked at Yelp full-time,Really put in positions to learn and achieve a lot of things. Great role for younger professionals.,None at this time. Great experience.,"5.0
★★★★★",Yelp
Tue Jul 21 2020 16:44:36 GMT+0900 (Korean Standard Time), Account Executive,"Chicago, IL",Former Employee ,Great place to start out,I worked at Yelp full-time for less than a year,"great people, culture, and benefits","Sales can be difficult if you are not cut out for it
every opportunity for growth is directly related to sales
some managers were not great performers","4.0
★★★★★",Yelp
Mon Jul 20 2020 11:56:23 GMT+0900 (Korean Standard Time), Account Executive,"Washington, DC",Current Employee ,Great Place,I have been working at Yelp full-time for less than a year,"Work environment is second to none (lively, encouraging, nice building, free coffee bar, big kitchen) Helpful management that cares","Weak commission structure Feel somewhat powerless at times when trying to help clientele, little room for self-sufficiency in client upkeep","5.0
★★★★★",Yelp
Fri Jul 17 2020 19:04:41 GMT+0900 (Korean Standard Time), Account Executive,"New York, NY",Former Employee ,Great place to develop,I worked at Yelp full-time for more than a year,"Awesome place to develop you basic fundamentals as a salesperson. Fun environment, people, and truly a place where you can learn a lot. The support from management you have here is truly top notch - if you’re willing to dedicate yourself and work hard here, you can grow your career and skills a lot.","Very micro-managy and management doesn’t like to acknowledge clear issues that impact the job (territories, reasonable client/prospect objections, etc).","4.0
★★★★★",Yelp
Wed Jul 15 2020 18:57:11 GMT+0900 (Korean Standard Time), Community Coordinator,"Austin, TX",Former Employee ,"Overall, A Good Experience",I worked at Yelp part-time for less than a year,"Great communication, remote work was not a problem, computer provided.","Endless onboarding process, low hourly pay","4.0
★★★★★",Yelp
Tue Jul 14 2020 17:48:01 GMT+0900 (Korean Standard Time), Account Executive,"New York, NY",Current Employee ,Great Place To Grow,I have been working at Yelp full-time for more than 3 years,"Great People to work with, Will teach you the in and outs of sales,",If you don't keep a positive mindset you will not be able to focus on the job,"4.0
★★★★★",Yelp
Mon Jul 13 2020 14:05:25 GMT+0900 (Korean Standard Time), Software Engineer,"San Francisco, CA",Current Employee ,Good Career Starting Point,I have been working at Yelp full-time,- Great culture - Good work life balance - Ergonomic tech stack,- Not enough senior engineer - Company direction,"4.0
★★★★★",Yelp
Sun Jul 26 2020 17:46:00 GMT+0900 (Korean Standard Time), Account Executive,"Washington, DC",Current Employee ,Great place to learn the fundamentals of sales,I have been working at Yelp full-time for more than a year,Post COVID-19 WFH status: great benefits,Micro-management/a lot of office politics,"3.0
★★★★★",Yelp
Sun Jul 26 2020 18:28:20 GMT+0900 (Korean Standard Time), Account Executive,"San Francisco, CA",Former Employee ,Dial dial dial,I worked at Yelp full-time for more than a year,"Great team, great benefits, Great training","Long hours, over priced products","3.0
★★★★★",Yelp
Thu Jul 23 2020 13:38:20 GMT+0900 (Korean Standard Time), Account Executive,"San Francisco, CA",Former Employee ,Yelp Review,I worked at Yelp full-time,Lots of cool people working there,"Lots of people quitting, day to day was extremely repetitive","2.0
★★★★★",Yelp
