date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Tue Jul 21 2020 14:36:08 GMT+0900 (Korean Standard Time), Sales Engineer,,Current Employee ,Securing the cloud enablement transformation,I have been working at Zscaler full-time for less than a year,Innovative technology that shapes the way people are able to work,Takes time to learn (not sure if that's a con),"5.0
★★★★★",Zscaler
Mon Jul 20 2020 05:02:23 GMT+0900 (Korean Standard Time), Solution Architect,,Current Employee ,"Great place to work, phenomenal technology, really fun culture to be a part of",I have been working at Zscaler full-time for less than a year,"Great compensation package, smart people, fantastic leadership, and growing at a fast pace",None so far that I have found,"5.0
★★★★★",Zscaler
Mon Jul 20 2020 05:19:13 GMT+0900 (Korean Standard Time), Regional Sales Manager,"Buffalo, NY",Current Employee ,Zscaler is a great place to join.,I have been working at Zscaler full-time for less than a year,Great company with industry leading benefits and compensation.,None that I am aware of as of now.,"5.0
★★★★★",Zscaler
Mon Jul 20 2020 07:20:14 GMT+0900 (Korean Standard Time), Regional Sales Manager,"Arlington, VA",Current Employee ,Love it!,I have been working at Zscaler full-time for less than a year,- Team culture - win together - Supportive and inclusive environment - Collaborative across all departments - Consistent vision and direction from top level management - Technology is disruptive,"Nothing so far, it's been everything I was hoping for and more!","5.0
★★★★★",Zscaler
Tue Jul 14 2020 21:04:34 GMT+0900 (Korean Standard Time)," Senior Vice President, Global Partners & Alliances","Madison, WI",Current Employee ,Great Decision for me!,I have been working at Zscaler full-time for less than a year,"High Energy, Fast Pace, Empowered, Growth, Challenge",It requires 110% of you and we are always changing and growing.,"5.0
★★★★★",Zscaler
Mon Jul 13 2020 04:47:42 GMT+0900 (Korean Standard Time), Enterprise Regional Sales Manager,"Edgewater, MD",Current Employee ,Organization with a lot of growth and opportunity.,I have been working at Zscaler full-time for less than a year,- Thorough onboarding - Bi-weekly trainings to keep you up to speed on competitors and industry changes - Hands on CEO - Team is extremely accepting and everyone is willing to help,- Put into new hire training a little too early on (week 2).,"5.0
★★★★★",Zscaler
Mon Jul 13 2020 07:08:06 GMT+0900 (Korean Standard Time), Regional Sales Manager,"Boston, MA",Current Employee ,Great place to be a seller!,I have been working at Zscaler full-time for less than a year,"Product, Culture, General competence, Enablement, Resources, Fast Paced","Challenges to meet/exceed on a daily basis, have to be prepared and ready to go every single day","5.0
★★★★★",Zscaler
Tue Jul 07 2020 03:50:04 GMT+0900 (Korean Standard Time), Regional Sales Manager,"Cleveland, OH",Current Employee ,2020 Glassdoor “Best Place to Work”,I have been working at Zscaler full-time for less than a year,"Outstanding culture, tremendous opportunity to grow as professional.",Sales cycle typically longer as this is a transformational journey,"5.0
★★★★★",Zscaler
Tue Jun 30 2020 06:24:02 GMT+0900 (Korean Standard Time), Sales Engineer,"Indianapolis, IN",Current Employee ,"Really happy to be here! Great people, great tech!",I have been working at Zscaler full-time for less than a year,"Some of the smartest people in tech are working here! Solid compensation structure. Leadership seems genuinely focused on their ""people first"" strategy. Awesome culture!","It's hard starting a new job during a pandemic. I've only met one co-worker face-to-face thus far (as part of the interview process right before everything was locked-down). HR team is being very creative to on-board folks during this time. On the benefits side, the 401(k) match is a little low; would be nice if that were bumped-up to industry norms.","5.0
★★★★★",Zscaler
Tue Jun 30 2020 07:52:36 GMT+0900 (Korean Standard Time),,"San Jose, CA",Current Employee ,Company culture like no other!,I have been working at Zscaler full-time for less than a year,"Zscaler is a fantastic company. Culture of collaboration, no politics, and simply getting things done! I started amid COVID'19 pandemic, yet given how welcoming the people are, I never felt disconnected. I am extremely happy with my decision to join.",None that I have seen thus far,"5.0
★★★★★",Zscaler
Tue Jun 30 2020 13:44:28 GMT+0900 (Korean Standard Time), Regional Sales Manager,"New York, NY",Current Employee ,Zscaler is a great company with a great culture!,I have been working at Zscaler full-time for less than a year,"Technology we sell is second to none. The market is huge and ripe for disruption. The people are smart, motivated, and a pleasure to work with!",I can't think of any!,"5.0
★★★★★",Zscaler
